IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.110830E-04,1.50583814,-0.010430284,1.4794001470588236
0.0003,+1.102626E-03,1.5044521,-0.0104522033,1.4265401470588235
0.0005,+1.312994E-03,1.50411317,-0.0104647767,1.3736801470588236
0.001,+1.827397E-03,1.5028975,-0.0104951469,1.2415301470588234
0.002,+2.833065E-03,1.5019763,-0.0105506306,0.9772301470588235
0.003,+3.829552E-03,1.50185222,-0.0106166806,0.7129301470588235
0.004,+4.821813E-03,1.50141484,-0.0106777852,0.4486301470588234
0.005,+5.816059E-03,1.5013419,-0.0107426509,0.18433014705882345
0.006,+6.805122E-03,1.50123084,-0.0108022905,-0.07996985294117676
0.007,+7.792015E-03,1.50097679,-0.0108718543,-0.34426985294117673
0.008,+8.782071E-03,1.50103859,-0.0109300595,-0.6085698529411765
0.009,+9.770798E-03,1.50080796,-0.0109920258,-0.8728698529411765
0.01,+1.049987E-02,1.50027176,-0.0110528441,-1.137169852941177
