IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.638667E-04,1.0227953,0.982286487,0.9774567647058824
0.0003,+1.159361E-03,1.02259887,0.930182105,0.9245967647058824
0.0005,+1.352653E-03,1.02263722,0.878050372,0.8717367647058823
0.001,+1.834509E-03,1.02265635,0.747678133,0.7395867647058824
0.002,+2.791423E-03,1.02255117,0.487111117,0.47528676470588227
0.003,+3.750882E-03,1.02271261,0.225934718,0.2109867647058823
0.004,+4.708271E-03,1.02292014,-0.0345225257,-0.05331323529411769
0.005,+5.659468E-03,1.02292305,-0.294337822,-0.3176132352941179
0.006,+6.615919E-03,1.02297958,-0.55491133,-0.5819132352941179
0.007,+7.571979E-03,1.0228284,-0.815539391,-0.8462132352941178
0.008,+8.530545E-03,1.02276223,-1.07598979,-1.110513235294118
0.009,+9.489656E-03,1.02270133,-1.33618606,-1.3748132352941176
0.01,+1.044673E-02,1.02258734,-1.59651149,-1.639113235294118
