IL,ITOT,VOUT,VDROP,VISET
0.0001,+1.028278E-03,0.641738867,0.586371675,0.5759020588235294
0.0003,+1.220730E-03,0.641501463,0.534262673,0.5230420588235294
0.0005,+1.414035E-03,0.641412865,0.482164408,0.47018205882352937
0.001,+1.893906E-03,0.641438997,0.3518285,0.3380320588235294
0.002,+2.853452E-03,0.64124901,0.0905370655,0.0737320588235294
0.003,+3.808438E-03,0.641243106,-0.1699266,-0.1905679411764707
0.004,+4.759986E-03,0.641088354,-0.429653216,-0.45486794117647056
0.005,+5.715485E-03,0.641004126,-0.690176293,-0.7191679411764705
0.006,+6.671962E-03,0.641020355,-0.950657102,-0.9834679411764705
0.007,+7.627400E-03,0.64094257,-1.21112812,-1.2477679411764706
0.008,+8.582261E-03,0.640906907,-1.47127142,-1.5120679411764706
0.009,+9.543435E-03,0.640828563,-1.73161762,-1.7763679411764706
0.01,+1.049932E-02,0.640670077,-1.99189367,-2.040667941176471
