IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.283642E-04,1.71487669,1.67602948,1.6801774999999999
0.0003,+1.125761E-03,1.71477125,1.62297289,1.6273175
0.0005,+1.318405E-03,1.71458197,1.57046722,1.5744574999999998
0.001,+1.799338E-03,1.71441638,1.43980082,1.4423074999999999
0.002,+2.757836E-03,1.71439995,1.17889383,1.1780074999999999
0.003,+3.715790E-03,1.71453511,0.918234772,0.9137074999999999
0.004,+4.672340E-03,1.71435793,0.657935346,0.6494074999999999
0.005,+5.630550E-03,1.71470207,0.397421819,0.38510749999999994
0.006,+6.593071E-03,1.71486894,0.136070027,0.12080749999999973
0.007,+7.550400E-03,1.71483503,-0.124361551,-0.14349250000000024
0.008,+8.501105E-03,1.71440584,-0.384229792,-0.4077925
0.009,+9.456367E-03,1.71458845,-0.644439899,-0.6720925
0.01,+1.041991E-02,1.71463769,-0.904792895,-0.9363925
