IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.443540E-04,1.41690317,1.3781145,1.3790114705882353
0.0003,+1.140866E-03,1.41684271,1.32585737,1.3261514705882351
0.0005,+1.335786E-03,1.41682462,1.27364291,1.2732914705882352
0.001,+1.816102E-03,1.41678451,1.1432214,1.1411414705882352
0.002,+2.776268E-03,1.41684186,0.882448986,0.8768414705882351
0.003,+3.731963E-03,1.41682552,0.621861586,0.6125414705882352
0.004,+4.689516E-03,1.41695646,0.361411813,0.34824147058823507
0.005,+5.646270E-03,1.41708507,0.100370651,0.08394147058823509
0.006,+6.603995E-03,1.41724309,-0.160127417,-0.1803585294117649
0.007,+7.559857E-03,1.41721177,-0.419989447,-0.44465852941176487
0.008,+8.516923E-03,1.41718916,-0.680611488,-0.7089585294117651
0.009,+9.474192E-03,1.41710515,-0.940778902,-0.9732585294117646
0.01,+1.043303E-02,1.41722969,-1.20110588,-1.237558529411765
