time,VOUT
0,1.7014780206106
9.999999999999999e-12,1.701478020666988
1.188574629922525e-11,1.70126965759303
1.565723889767576e-11,1.701138640884684
1.85849315454232e-11,1.70103820271463
2.245119124976531e-11,1.700910087162457
2.929995712106516e-11,1.700694449873505
3.958906076820968e-11,1.700389806678158
4.937971073657393e-11,1.700111404241769
5.93774773789816e-11,1.699826750976657
6.983358907702912e-11,1.699515856274528
8.091284171631743e-11,1.699158956095366
9.32166128704864e-11,1.698717150391888
1.077622857652385e-10,1.698122620761173
1.254074050350341e-10,1.697293846234643
1.499069465427081e-10,1.695974008079496
1.697504220809329e-10,1.694793419635272
1.883587426263833e-10,1.693626669441478
2.081604958654988e-10,1.692351422314047
2.293006416748402e-10,1.690975272228175
2.535508809920144e-10,1.689393330744264
2.845715416997008e-10,1.687365149849424
3.107518028834383e-10,1.685639964192773
3.369621531190996e-10,1.683889999350129
3.665329670191483e-10,1.681880972029841
4.056335019464856e-10,1.679171057828993
4.838345718011602e-10,1.673634756061883
5.419783957293121e-10,1.669453965852059
6.071966013359421e-10,1.664722306380157
6.75402845951069e-10,1.659734669829275
7.487169795172615e-10,1.654338130218994
8.342425923581961e-10,1.648015387845529
9.38592031507543e-10,1.64029110945769
1.089815879051965e-09,1.629129723519141
1.250796197146337e-09,1.617338936645248
1.373268752899219e-09,1.608455498875499
1.489847585521639e-09,1.600085730535117
1.61102978707943e-09,1.591488076220011
1.748894430970375e-09,1.581854470963088
1.939157134550234e-09,1.568885481161652
2.204768649518284e-09,1.551681930060679
2.456679711327715e-09,1.536785112959663
2.684720265082008e-09,1.524996837085593
2.897668645999818e-09,1.515924953501282
3.102671586122493e-09,1.50938640137506
3.307814784293768e-09,1.505376898023021
3.520856345230164e-09,1.50421711356337
3.745553722102799e-09,1.506530696048048
3.947794911153021e-09,1.511759029551578
4.135741407837776e-09,1.519197025223365
4.314456582772481e-09,1.528388994344836
4.493920522116118e-09,1.539431208438042
4.687178332501629e-09,1.552961223359677
4.877077419939651e-09,1.567456867752927
5.057343641999508e-09,1.581861140712129
5.231644438579313e-09,1.595944417898705
5.402547830402996e-09,1.609485925828343
5.572798374491885e-09,1.622324271767601
5.745734716127074e-09,1.634347212402117
5.926440971046702e-09,1.645516518210236
6.109191201869258e-09,1.655183676016313
6.274617538107089e-09,1.662491215677309
6.432358966030178e-09,1.668242253096669
6.596140415845821e-09,1.673082502330993
6.772271299485042e-09,1.677185656536495
6.945200133079524e-09,1.680291604146399
7.122248017146185e-09,1.682705747742959
7.311005718496407e-09,1.684598025046038
7.523056000011624e-09,1.686058005036651
7.777434044064418e-09,1.687075303240828
8.05943361805797e-09,1.687456769670493
8.386023665409154e-09,1.687121159152696
8.731099755218808e-09,1.68605428488563
9.076858904006269e-09,1.684429906118426
9.44766722800404e-09,1.682266062958188
9.728833614002021e-09,1.680440465522033
1.001e-08,1.678548525029732
1.002532888329098e-08,1.679065248641692
1.004047040512382e-08,1.679389640330871
1.005749711609161e-08,1.679687392895154
1.008029035430923e-08,1.679992394825753
1.009634699966549e-08,1.68015724274754
1.011179215703952e-08,1.680288615246649
1.012863331747834e-08,1.680412135692562
1.014774043455781e-08,1.680537700650031
1.01713725492524e-08,1.680683366877609
1.02031085863432e-08,1.680877145452868
1.025895741375133e-08,1.681240091253272
1.031626880788182e-08,1.681652838814207
1.036919609791657e-08,1.682070885816072
1.042812704347449e-08,1.682573349056448
1.050006755193966e-08,1.683229706042674
1.06030112000184e-08,1.684226794830645
1.073811805604655e-08,1.685585663989301
1.088100727857542e-08,1.687018251515941
1.103744356093425e-08,1.688511842071263
1.122217821036601e-08,1.690113763356994
1.143998317580899e-08,1.691755300981363
1.167020101966751e-08,1.693230124207143
1.192080242957103e-08,1.694597432498061
1.217594892774994e-08,1.695798201315225
1.247775768880416e-08,1.697024630944727
1.28989874000654e-08,1.698431914507029
1.341903022501144e-08,1.699731639490746
1.409867195008578e-08,1.700842095940119
1.496677461662519e-08,1.70158539366374
1.583993702025034e-08,1.701844188346856
1.678675444793634e-08,1.701815313783613
1.780006591177019e-08,1.701624953313106
1.878166142418128e-08,1.701406670956057
1.981176405172152e-08,1.701217856578048
2.092986535109522e-08,1.701092256200464
2.219069945589625e-08,1.701042897528824
2.371253275749516e-08,1.70106673563224
2.578487489989018e-08,1.701147195583474
2.646971320121619e-08,1.701176643223182
2.783938980386821e-08,1.701220340429536
3.057874300917226e-08,1.701248524836772
3.39967899057927e-08,1.701226774846907
3.943088310058204e-08,1.701176450968282
4.770381424837418e-08,1.701130765273708
5.650300582443674e-08,1.701103768916932
6.768104521466315e-08,1.701078213372132
7.682140505001956e-08,1.701062394030307
9.044280109917222e-08,1.70104638235402
1.030071829077297e-07,1.701037304353447
1.164091706040846e-07,1.701031305671705
1.32969891692496e-07,1.701026976017155
1.535984930391162e-07,1.701024236648073
1.802515405129889e-07,1.701022804462545
2.163735011311414e-07,1.701022329419601
2.642834831239477e-07,1.701022413043095
3.322318619470278e-07,1.701022650320306
4.322318619470278e-07,1.701022811387647
5.322318619470278e-07,1.701022843824211
6.322318619470277e-07,1.701022837844199
7.322318619470277e-07,1.701022827540969
8.322318619470277e-07,1.701022820177647
9.322318619470277e-07,1.701022815741638
1.032231861947028e-06,1.701022813257924
1.132231861947028e-06,1.701022811963867
1.186120930973514e-06,1.701022811603553
1.24001e-06,1.701022811381078
1.2400490625e-06,1.702167957015995
1.240095445296398e-06,1.7030868133608
1.24011466712089e-06,1.703384240709006
1.240138729874883e-06,1.703707111613175
