IL,ITOT,VOUT,VDROP
0.0001,+3.985940E-03,1.59549333,0.760014017
0.0003,+4.171530E-03,1.59569454,0.707804768
0.0005,+4.366189E-03,1.59562086,0.655590404
0.001,+4.860473E-03,1.59561265,0.525056659
0.002,+5.848842E-03,1.59558524,0.264286447
0.003,+6.841197E-03,1.59565793,0.00243883216
0.004,+7.830843E-03,1.59580254,-0.258379315
0.005,+8.817690E-03,1.5958196,-0.518722082
0.006,+9.805989E-03,1.59584414,-0.779451558
0.007,+1.049986E-02,1.59500294,-1.04044332
0.008,+1.049985E-02,1.43287403,-1.30143508
0.009,+1.049985E-02,1.24470415,-1.56240856
0.01,+1.049984E-02,1.01239805,-1.82339059
