IL,ITOT,VOUT,VDROP
0.0001,+3.111228E-03,1.19434608,0.566965924
0.0003,+3.303462E-03,1.19409483,0.515229594
0.0005,+3.499521E-03,1.19432623,0.463490109
0.001,+3.988394E-03,1.19457225,0.334158303
0.002,+4.965903E-03,1.19440919,0.0747996723
0.003,+5.944904E-03,1.19447045,-0.183701368
0.004,+6.919048E-03,1.19453781,-0.441558179
0.005,+7.896720E-03,1.19471243,-0.700134865
0.006,+8.873801E-03,1.19473523,-0.958650436
0.007,+9.850496E-03,1.19481366,-1.2172276
0.008,+1.049992E-02,1.19302104,-1.47559921
0.009,+1.049991E-02,1.09102647,-1.7341032
0.01,+1.049991E-02,0.842405976,-1.99260878
