IL,ITOT,VOUT,VDROP
5e-05,+3.248873E-04,1.99032401,1.95420599
0.0001,+3.741163E-04,1.99029679,1.93788648
0.0003,+5.708036E-04,1.99021593,1.87294628
0.0005,+7.671162E-04,1.99020187,1.80798028
0.001,+1.258618E-03,1.9901466,1.64547725
0.002,+2.242205E-03,1.99012537,1.32051199
0.003,+3.224893E-03,1.99011545,0.995779615
0.004,+4.208758E-03,1.99008523,0.670783273
0.005,+5.192589E-03,1.99013216,0.345817897
0.006,+6.177801E-03,1.99011587,0.0203200338
0.007,+7.158931E-03,1.99016542,-0.303830932
0.008,+8.141699E-03,1.99014798,-0.628584645
0.009,+9.124957E-03,1.99017339,-0.953421151
0.01,+1.010858E-02,1.99019409,-1.27833832
