IL,ITOT,VOUT,VDROP
0.0001,+3.995029E-03,1.60108687,-0.0104644209
0.0003,+4.152041E-03,1.60118191,-0.0104859233
0.0005,+4.343179E-03,1.60133361,-0.0104954638
0.001,+4.835880E-03,1.60108562,-0.010527224
0.002,+5.823005E-03,1.60092357,-0.0106048161
0.003,+6.814926E-03,1.60091389,-0.0106629184
0.004,+7.801602E-03,1.60064063,-0.0107429011
0.005,+8.786350E-03,1.60042321,-0.0108087593
0.006,+9.773413E-03,1.60036114,-0.0108792599
0.007,+1.049988E-02,1.59959466,-0.0109545308
0.008,+1.049988E-02,1.45149593,-0.011029885
0.009,+1.049988E-02,1.26783341,-0.0111089949
0.01,+1.049987E-02,1.04443501,-0.0111772243
