IL,ITOT,VOUT,VDROP,VISET
0.0001,+3.080141E-04,1.44722109,1.40994053,1.4292058088235293
0.0003,+4.983800E-04,1.44704293,1.35752292,1.3763458088235294
0.0005,+6.952424E-04,1.44707879,1.30506448,1.3234858088235293
0.001,+1.191134E-03,1.44696931,1.17401121,1.1913358088235293
0.002,+2.183307E-03,1.44683894,0.911980292,0.9270358088235293
0.003,+3.175240E-03,1.44674699,0.650101522,0.6627358088235293
0.004,+4.167747E-03,1.44672252,0.38805273,0.39843580882352936
0.005,+5.163724E-03,1.44666373,0.125198152,0.13413580882352916
0.006,+6.156107E-03,1.4466567,-0.136717612,-0.13016419117647082
0.007,+7.146128E-03,1.44663613,-0.398122608,-0.3944641911764708
0.008,+8.138075E-03,1.44667692,-0.659998005,-0.658764191176471
0.009,+9.130205E-03,1.44654877,-0.921938781,-0.9230641911764705
0.01,+1.012247E-02,1.44657176,-1.18395643,-1.187364191176471
