IL,VOUT
1e-09,1.304639094142712
1.258925411794167e-09,1.304639073286936
1.584893192461114e-09,1.304639046951055
1.9952623149688803e-09,1.30463901379852
2.511886431509581e-09,1.304638972065704
3.1622776601683803e-09,1.304638919533147
3.981071705534974e-09,1.304638853408003
5.0118723362727255e-09,1.304638770176313
6.3095734448019354e-09,1.304638665417483
7.943282347242819e-09,1.304638533571412
1.000000000000001e-08,1.304638367646417
1.2589254117941681e-08,1.304638158853259
1.5848931924611153e-08,1.304637896147157
1.9952623149688813e-08,1.304637565655515
2.511886431509582e-08,1.304637149964319
3.1622776601683825e-08,1.304636627230459
3.9810717055349776e-08,1.304635970081147
5.0118723362727296e-08,1.304635144254863
6.30957344480194e-08,1.304634106932
7.943282347242826e-08,1.304632804698181
1.000000000000001e-07,1.304631171081271
1.258925411794169e-07,1.304629123607125
1.584893192461116e-07,1.304626568601543
1.995262314968882e-07,1.304623368789518
2.511886431509584e-07,1.304619376997949
3.162277660168384e-07,1.30461440849681
3.981071705534979e-07,1.304608241647428
5.011872336272731e-07,1.304600613851929
6.309573444801943e-07,1.30459121890939
7.943282347242829e-07,1.304579706965724
1.000000000000002e-06,1.304565688603009
1.25892541179417e-06,1.304548744866543
1.584893192461117e-06,1.304528444988188
1.995262314968884e-06,1.304504372985651
2.511886431509586e-06,1.304476162964705
3.162277660168386e-06,1.304443540756326
3.981071705534982e-06,1.30440637020486
5.011872336272735e-06,1.304364678499029
6.309573444801948e-06,1.304318692089262
7.943282347242835e-06,1.304268827803983
1.000000000000003e-05,1.304215669469797
1.258925411794171e-05,1.304159921028677
1.584893192461118e-05,1.304102346588447
1.995262314968885e-05,1.30404370869347
2.511886431509587e-05,1.303984715264096
3.162277660168388e-05,1.303925981981567
3.981071705534984e-05,1.30386801217686
5.011872336272738e-05,1.303811192292356
6.309573444801952e-05,1.303755798705179
7.943282347242841e-05,1.30370201117718
0.0001,1.303649928884124
0.0001258925411794,1.30359958619301
0.0001584893192461,1.303550966580223
0.0001995262314968,1.303504014045137
0.0002511886431509,1.303458642008525
0.0003162277660168,1.303414740040187
0.0003981071705534,1.303372178918558
0.0005011872336272,1.303330814558189
0.0006309573444801,1.303290491290471
0.0007943282347242,1.30325104485787
0.001,1.303212254788338
0.0012589254117941,1.303174052868057
0.0015848931924611,1.303136209522574
0.0019952623149688,1.303098549184776
0.0025118864315095,1.303060892608268
0.0031622776601683,1.303023051858623
0.0039810717055349,1.302984822054149
0.0050118723362727,1.302945970482765
0.0063095734448019,1.302906223448655
0.0079432823472428,1.302865250665228
0.01,1.302822646201498
0.0125892541179417,1.302777904585962
0.0158489319246112,1.302730389492982
0.0199526231496888,1.30267929259622
0.0251188643150959,1.302623579513151
0.0316227766016839,1.302561919140839
0.0398107170553499,1.302492591853868
0.0501187233627274,1.302413370901321
0.0630957344480196,1.3023213697415
0.0794328234724285,1.302212846018451
0.1,1.30208294891426
0.0794328234724285,1.3022128480833
0.0630957344480196,1.302321371838774
0.0501187233627274,1.302413373041927
0.0398107170553499,1.302492594086323
0.0316227766016839,1.302561921526431
0.0251188643150959,1.302623582114287
0.0199526231496888,1.302679295471199
0.0158489319246112,1.302730392694209
0.0125892541179417,1.302777908159671
0.01,1.302822650188146
0.0079432823472428,1.302865255100935
0.0063095734448019,1.302906228368823
0.0050118723362727,1.302945975928275
0.0039810717055349,1.302984828080016
0.0031622776601683,1.303023058541251
0.0025118864315095,1.303060900046863
0.0019952623149688,1.303098557493745
0.0015848931924611,1.303136218816019
0.0012589254117941,1.303174063240539
0.001,1.303212266535716
0.0007943282347242,1.303251003274912
0.0006309573444801,1.303290446659323
0.0005011872336272,1.303330766743653
0.0003981071705534,1.303372127862276
0.0003162277660168,1.303414740044466
0.0002511886431509,1.303458642013137
0.0001995262314968,1.303504014049918
0.0001584893192461,1.303550966585024
0.0001258925411794,1.303599586197666
0.0001,1.303649928888455
7.943282347242841e-05,1.303702011181014
6.309573444801952e-05,1.303755798708372
5.011872336272738e-05,1.30381119229481
3.981071705534984e-05,1.303868012178552
3.162277660168388e-05,1.303925981982555
2.511886431509587e-05,1.303984715264512
1.995262314968885e-05,1.304043708693499
1.584893192461118e-05,1.304102346588273
1.258925411794171e-05,1.304159921028448
1.000000000000003e-05,1.304215669469602
7.943282347242835e-06,1.304268827803852
6.309573444801948e-06,1.304318692089188
5.011872336272735e-06,1.304364678498994
3.981071705534982e-06,1.304406370204845
3.162277660168386e-06,1.304443539483209
2.511886431509586e-06,1.304476162196265
1.995262314968884e-06,1.304504372551822
1.584893192461117e-06,1.304528444756996
1.25892541179417e-06,1.304548744749348
1.000000000000002e-06,1.30456568854609
7.943282347242829e-07,1.304579706939061
6.309573444801943e-07,1.304591218897273
5.011872336272731e-07,1.30460061384656
3.981071705534979e-07,1.304608241645098
3.162277660168384e-07,1.304614408495815
2.511886431509584e-07,1.304619376997529
1.995262314968882e-07,1.304623368789343
1.584893192461116e-07,1.304626568601471
1.258925411794169e-07,1.304629128878417
1.000000000000001e-07,1.304631169166507
7.943282347242826e-08,1.30463280345959
6.30957344480194e-08,1.304634106145362
5.0118723362727296e-08,1.304635143755964
3.9810717055349776e-08,1.30463596976507
3.1622776601683825e-08,1.304636627030377
2.511886431509582e-08,1.304637149837747
1.9952623149688813e-08,1.304637565575489
1.5848931924611153e-08,1.304637896096581
1.2589254117941681e-08,1.304638158821306
1.000000000000001e-08,1.304638367626235
7.943282347242819e-09,1.304638533558668
6.3095734448019354e-09,1.304638665409438
5.0118723362727255e-09,1.304638770171233
3.981071705534974e-09,1.304638853404797
3.1622776601683803e-09,1.304638919531124
2.511886431509581e-09,1.304638972064425
1.9952623149688803e-09,1.304639013797714
1.584893192461114e-09,1.304639046950548
1.258925411794167e-09,1.304639073286611
1e-09,1.304639094207249
