IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.860315E-04,1.10103084,1.0629263,1.0778454411764706
0.0003,+1.095400E-03,1.10014894,1.01058724,1.0249854411764707
0.0005,+1.305180E-03,1.09962981,0.958038451,0.9721254411764707
0.001,+1.818956E-03,1.09931436,0.826619416,0.8399754411764706
0.002,+2.822889E-03,1.09879113,0.563821569,0.5756754411764706
0.003,+3.821145E-03,1.09861869,0.301104108,0.31137544117647065
0.004,+4.819354E-03,1.09830685,0.0375601809,0.04707544117647067
0.005,+5.813172E-03,1.09841145,-0.225044412,-0.2172245588235293
0.006,+6.803848E-03,1.09855715,-0.486933655,-0.4815245588235293
0.007,+7.797854E-03,1.09844431,-0.749652356,-0.7458245588235293
0.008,+8.791181E-03,1.09853471,-1.01240297,-1.0101245588235295
0.009,+9.783904E-03,1.09872369,-1.27512418,-1.2744245588235295
0.01,+1.049987E-02,1.09803256,-1.53766703,-1.5387245588235294
