VIN,ITOT,VOUT,VDROP
1.8,+3.824281E-03,1.0986372,0.301078667
1.775,+3.803616E-03,1.09838174,0.301061998
1.75,+3.787114E-03,1.09820714,0.301074602
1.725,+3.769594E-03,1.09777641,0.301090011
1.7,+3.754905E-03,1.09764016,0.301067358
1.675,+3.738989E-03,1.09741846,0.301072509
1.65,+3.723602E-03,1.09718963,0.301067216
1.625,+3.708000E-03,1.09711838,0.301091079
1.6,+3.692184E-03,1.09686404,0.30107249
1.575,+3.677867E-03,1.0967294,0.301065924
1.55,+3.660894E-03,1.09645956,0.301073666
1.525,+3.645002E-03,1.09609083,0.301073343
1.5,+3.629815E-03,1.09603889,0.301096233
1.475,+3.613903E-03,1.09588027,0.301048488
1.45,+3.598699E-03,1.09574504,0.301076899
1.425,+3.583654E-03,1.09565051,0.301076512
1.4,+3.567490E-03,1.09562171,0.301078614
1.375,+3.551099E-03,1.09548057,0.301101993
1.35,+3.535381E-03,1.09530587,0.301067514
1.325,+3.518667E-03,1.09521921,0.301042617
1.3,+3.501730E-03,1.09515692,0.301050328
1.275,+3.485212E-03,1.09505907,0.301075195
1.25,+3.467504E-03,1.09490801,0.301061151
1.225,+3.448542E-03,1.09479033,0.301105273
1.2,+3.428198E-03,1.09458817,0.301077282
1.175,+3.407229E-03,1.09454138,0.301077866
1.15,+3.385589E-03,1.0942558,0.301052308
1.125,+3.361911E-03,1.09400963,0.301087904
1.1,+3.310617E-03,1.08669435,0.301043896
1.075,+3.169758E-03,1.06191125,0.301055638
1.05,+3.031481E-03,1.03706043,0.301071978
1.025,+2.896851E-03,1.01211966,0.301070466
1.0,+2.767307E-03,0.987224125,0.301062279
