IL,ITOT,VOUT,VDROP
0.0001,+3.580072E-03,1.39610083,0.660469704
0.0003,+3.770177E-03,1.39603179,0.608362988
0.0005,+3.973503E-03,1.39590955,0.556235522
0.001,+4.471029E-03,1.39589097,0.425898386
0.002,+5.468878E-03,1.39591499,0.164291863
0.003,+6.455405E-03,1.39598479,-0.09634385
0.004,+7.436566E-03,1.39617445,-0.356248081
0.005,+8.422910E-03,1.3964874,-0.616768275
0.006,+9.412575E-03,1.39638804,-0.877408532
0.007,+1.040460E-02,1.39678323,-1.13803987
0.008,+1.049988E-02,1.37203257,-1.39871966
0.009,+1.049987E-02,1.13690338,-1.65938728
0.01,+1.049986E-02,0.912723149,-1.91979886
