IL,ITOT,VOUT,VDROP
0.0001,+2.043044E-03,0.600279215,0.26457848
0.0003,+2.240066E-03,0.60040347,0.211507955
0.0005,+2.438552E-03,0.600273389,0.159377645
0.001,+2.939526E-03,0.600297695,0.0290715388
0.002,+3.932901E-03,0.600104296,-0.231470248
0.003,+4.921616E-03,0.600060733,-0.491461407
0.004,+5.911697E-03,0.599970955,-0.75185589
0.005,+6.902315E-03,0.600003914,-1.0124909
0.006,+7.892611E-03,0.600008695,-1.27311867
0.007,+8.882244E-03,0.599899087,-1.53380634
0.008,+9.871510E-03,0.600233514,-1.79445479
0.009,+1.049988E-02,0.598722366,-2.05485635
0.01,+1.049986E-02,0.594034465,-2.31548748
