IL,ITOT,VOUT,VDROP
5e-05,+3.253806E-04,1.98982267,1.95461881
0.0001,+3.747289E-04,1.98980674,1.93829912
0.0003,+5.709699E-04,1.98975177,1.87329513
0.0005,+7.679078E-04,1.9897122,1.80829622
0.001,+1.260087E-03,1.98966983,1.64564772
0.002,+2.243905E-03,1.98965717,1.32040593
0.003,+3.227875E-03,1.9896179,0.995353315
0.004,+4.212080E-03,1.98962392,0.67010797
0.005,+5.196384E-03,1.98959173,0.344870785
0.006,+6.182201E-03,1.98957564,0.019082347
0.007,+7.163896E-03,1.98959933,-0.305327261
0.008,+8.147608E-03,1.98958892,-0.630395096
0.009,+9.131488E-03,1.98965155,-0.955496316
0.01,+1.011563E-02,1.9896575,-1.280657
