VIN,VOUT
0.0,-2.164868754903702
0.001,-2.157137955169
0.002,-2.149545638426631
0.003,-2.142031918191316
0.004,-2.134597691734045
0.005,-2.12724407465018
0.006,-2.119972146065934
0.007,-2.112782952603497
0.008,-2.10567749617495
0.009,-2.098656741768502
0.01,-2.091721607493939
0.011,-2.084872964534129
0.012,-2.078111638091105
0.013,-2.071438400332895
0.014,-2.064853969899339
0.015,-2.058359013731642
0.016,-2.051954135876032
0.017,-2.045639887483359
0.018,-2.039416753178393
0.019,-2.033285159442444
0.02,-2.027245467868407
0.021,-2.021297971640577
0.022,-2.015442902929304
0.023,-2.009680421093527
0.024,-2.00401062212452
0.025,-1.998433525769518
0.026,-1.992949093161791
0.027,-1.987557204024407
0.028,-1.98225767838674
0.029,-1.97705026068612
0.03,-1.971934627181471
0.031,-1.966910390749564
0.032,-1.961977089977525
0.033,-1.957134199963116
0.034,-1.952381130487084
0.035,-1.947717227574067
0.036,-1.94314177331977
0.037,-1.938653992260339
0.038,-1.934253044938033
0.039,-1.929938044011054
0.04,-1.92570804082209
0.041,-1.921562035035946
0.042,-1.917498983316463
0.043,-1.913517788094887
0.044,-1.909617313853365
0.045,-1.905796380305178
0.046,-1.902053770243413
0.047,-1.898388231742592
0.048,-1.894798479332076
0.049,-1.891283197421746
0.05,-1.887841047616984
0.051,-1.884470664695062
0.052,-1.881170663527793
0.053,-1.877939640941337
0.054,-1.874776180370152
0.055,-1.871678852307572
0.056,-1.868646218934831
0.057,-1.865676835479667
0.058,-1.862769249746273
0.059,-1.859922015269354
0.06,-1.857133680204337
0.061,-1.854402797390649
0.062,-1.851727926241585
0.063,-1.849107632414701
0.064,-1.846540492454012
0.065,-1.844025091736967
0.066,-1.841560028878351
0.067,-1.839143919769854
0.068,-1.836775393864835
0.069,-1.834453097349652
0.07,-1.832175696568753
0.071,-1.829941877588897
0.072,-1.827750346113218
0.073,-1.825599830403116
0.074,-1.823489080745063
0.075,-1.821416868917047
0.076,-1.819381998945992
0.077,-1.817383286656945
0.078,-1.81541958397022
0.079,-1.813489757389156
0.08,-1.811592708153353
0.081,-1.809727360613791
0.082,-1.807892662408509
0.083,-1.806087587496059
0.084,-1.804311141307808
0.085,-1.802562345454486
0.086,-1.800840257960053
0.087,-1.799143954072569
0.088,-1.79747253925212
0.089,-1.795825141061011
0.09,-1.794200916959371
0.091,-1.792599042581997
0.092,-1.791018720980921
0.093,-1.789459181531348
0.094,-1.787919674988793
0.095,-1.786399474995449
0.096,-1.784897874414272
0.097,-1.783414197857037
0.098,-1.78194778100323
0.099,-1.780497987887498
0.1000000000000001,-1.77906420436839
0.1010000000000001,-1.777645830294899
0.1020000000000001,-1.776242288296184
0.1030000000000001,-1.77485302694192
0.1040000000000001,-1.773477501094387
0.1050000000000001,-1.772115193675493
0.1060000000000001,-1.770765606267505
0.1070000000000001,-1.769428249730008
0.1080000000000001,-1.768102657913447
0.1090000000000001,-1.766788379868993
0.1100000000000001,-1.765484980309806
0.1110000000000001,-1.764192042344386
0.1120000000000001,-1.762909160190889
0.1130000000000001,-1.761635943545662
0.1140000000000001,-1.760372017760236
0.1150000000000001,-1.759117021033735
0.1160000000000001,-1.757870603204042
0.1170000000000001,-1.756632431792136
0.1180000000000001,-1.755402182736252
0.1190000000000001,-1.754179543006539
0.1200000000000001,-1.75296421512982
0.1210000000000001,-1.751755909266836
0.1220000000000001,-1.750554350344675
0.1230000000000001,-1.749359269501378
0.1240000000000001,-1.748170408785193
0.1250000000000001,-1.746987525716123
0.1260000000000001,-1.745810378435342
0.1270000000000001,-1.744638740943902
0.1280000000000001,-1.743472390909495
0.1290000000000001,-1.742311119786174
0.1300000000000001,-1.741154723465921
0.1310000000000001,-1.740003008145462
0.1320000000000001,-1.738855782166522
0.1330000000000001,-1.737712870804532
0.1340000000000001,-1.736574094874697
0.1350000000000001,-1.735439293012946
0.1360000000000001,-1.73430830203981
0.1370000000000001,-1.733180970468958
0.1380000000000001,-1.732057149147947
0.1390000000000001,-1.730936697314687
0.1400000000000001,-1.729819476444285
0.1410000000000001,-1.728705357541819
0.1420000000000001,-1.727594215153599
0.1430000000000001,-1.726485927235988
0.1440000000000001,-1.72538038012532
0.1450000000000001,-1.724277458901736
0.1460000000000001,-1.72317706149925
0.1470000000000001,-1.722079081736205
0.1480000000000001,-1.720983424399168
0.1490000000000001,-1.719889990245655
0.1500000000000001,-1.718798691330309
0.1510000000000001,-1.7177094410536
0.1520000000000001,-1.716622157262098
0.1530000000000001,-1.715536753748743
0.1540000000000001,-1.714453160070038
