"Loop Gain dB20 (IL=0.2,Temp=-55,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=-55,harmonic=0) Y","Loop Gain dB20 (IL=0.2,Temp=-180,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=-180,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=-55,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=-55,harmonic=0) Y","Loop Gain dB20 (IL=0.2,Temp=125,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=125,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=27,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=27,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=125,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=125,harmonic=0) Y","Loop Gain dB20 (IL=0.0002,Temp=-180,harmonic=0) X","Loop Gain dB20 (IL=0.0002,Temp=-180,harmonic=0) Y","Loop Gain dB20 (IL=0.2,Temp=27,harmonic=0) X","Loop Gain dB20 (IL=0.2,Temp=27,harmonic=0) Y"
1,47.50103180791612,1,51.73386842833814,1,75.11785711903369,1,32.16480364284793,1,67.32960803125557,1,49.02769832071041,1,79.55267583563527,1,39.66011495698627
1.258925411794167,47.50103180768244,1.258925411794167,51.73386842802991,1.258925411794167,75.11785707251423,1.258925411794167,32.16480364277088,1.258925411794167,67.32960802381859,1.258925411794167,49.02769832044758,1.258925411794167,79.55267577025067,1.258925411794167,39.66011495689033
1.584893192461114,47.50103180731315,1.584893192461114,51.73386842754859,1.584893192461114,75.11785699882407,1.584893192461114,32.16480364266273,1.584893192461114,67.32960801202984,1.584893192461114,49.02769832003825,1.584893192461114,79.55267566673092,1.584893192461114,39.6601149567387
1.99526231496888,47.50103180673091,1.99526231496888,51.7338684267589,1.99526231496888,75.11785688193238,1.99526231496888,32.16480364245108,1.99526231496888,67.32960799333749,1.99526231496888,49.02769831936859,1.99526231496888,79.55267550256259,1.99526231496888,39.66011495647731
2.511886431509581,47.5010318057919,2.511886431509581,51.73386842552191,2.511886431509581,75.11785669678838,2.511886431509581,32.16480364214326,2.511886431509581,67.32960796364824,2.511886431509581,49.02769831832502,2.511886431509581,79.55267524244248,2.511886431509581,39.66011495607854
3.16227766016838,47.50103180431665,3.16227766016838,51.73386842357274,3.16227766016838,75.11785640326103,3.16227766016838,32.16480364166418,3.16227766016838,67.32960791665589,3.16227766016838,49.02769831666518,3.16227766016838,79.55267483003695,3.16227766016838,39.66011495543958
3.981071705534974,47.50103180198303,3.981071705534974,51.7338684204594,3.981071705534974,75.1178559380722,3.981071705534974,32.16480364090288,3.981071705534974,67.32960784215821,3.981071705534974,49.02769831403275,3.981071705534974,79.55267417663093,3.981071705534974,39.66011495444383
5.011872336272725,47.50103179827924,5.011872336272725,51.73386841555452,5.011872336272725,75.1178552007419,5.011872336272725,32.16480363967289,5.011872336272725,67.32960772409334,5.011872336272725,49.02769830988368,5.011872336272725,79.55267314094849,5.011872336272725,39.66011495285501
6.309573444801935,47.50103179241489,6.309573444801935,51.73386840780323,6.309573444801935,75.11785403225466,6.309573444801935,32.16480363774209,6.309573444801935,67.32960753692299,6.309573444801935,49.0276983032593,6.309573444801935,79.55267149950467,6.309573444801935,39.66011495033784
7.943282347242818,47.50103178312695,7.943282347242818,51.7338683954756,7.943282347242818,75.11785218017847,7.943282347242818,32.16480363468228,7.943282347242818,67.32960724039876,7.943282347242818,49.0276982928327,7.943282347242818,79.55266889817851,7.943282347242818,39.66011494635153
