"Loop Gain Phase (IL=0.2,Temp=125,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=125,harmonic=0) Y","Loop Gain Phase (IL=0.2,Temp=-180,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=-180,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=-180,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=-180,harmonic=0) Y","Loop Gain Phase (IL=0.2,Temp=-55,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=-55,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=27,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=27,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=-55,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=-55,harmonic=0) Y","Loop Gain Phase (IL=0.2,Temp=27,harmonic=0) X","Loop Gain Phase (IL=0.2,Temp=27,harmonic=0) Y","Loop Gain Phase (IL=0.0002,Temp=125,harmonic=0) X","Loop Gain Phase (IL=0.0002,Temp=125,harmonic=0) Y"
1,179.9998822567884,1,179.9994428049038,1,179.9908162766341,1,179.999537633006,1,179.9969130034509,1,179.9922527272763,1,179.9997931851644,1,179.9994997626257
1.258925411794167,179.9998517700816,1.258925411794167,179.9992985329369,1.258925411794167,179.9884383773407,1.258925411794167,179.9994179144444,1.258925411794167,179.9961137016032,1.258925411794167,179.9902467615333,1.258925411794167,179.9997396355506,1.258925411794167,179.9993702384604
1.584893192461114,179.9998133895919,1.584893192461114,179.9991169052943,1.584893192461114,179.9854447795533,1.584893192461114,179.9992671977078,1.584893192461114,179.9951074402003,1.584893192461114,179.9877214003215,1.584893192461114,179.9996722205831,1.584893192461114,179.9992071771999
1.99526231496888,179.999765071429,1.99526231496888,179.998888249645,1.99526231496888,179.9816760633461,1.99526231496888,179.9990774565834,1.99526231496888,179.993840632159,1.99526231496888,179.9845421589927,1.99526231496888,179.9995873501736,1.99526231496888,179.999001895241
2.511886431509581,179.9997042424743,2.511886431509581,179.9986003892486,2.511886431509581,179.9769315309838,2.511886431509581,179.9988385866711,2.511886431509581,179.9922458153436,2.511886431509581,179.9805397314415,2.511886431509581,179.999480504669,2.511886431509581,179.9987434605771
3.16227766016838,179.9996276633768,3.16227766016838,179.9982379945025,3.16227766016838,179.9709585191076,3.16227766016838,179.9985378672902,3.16227766016838,179.9902380599662,3.16227766016838,179.9755009739852,3.16227766016838,179.9993459941702,3.16227766016838,179.9984181106336
3.981071705534974,179.9995312560469,3.981071705534974,179.9977817665914,3.981071705534974,179.9634389436251,3.981071705534974,179.9981592840629,3.981071705534974,179.9877104457793,3.981071705534974,179.969157554769,3.981071705534974,179.9991766555271,3.981071705534974,179.9980085193654
5.011872336272725,179.9994098865026,5.011872336272725,179.997207409768,5.011872336272725,179.9539723608697,5.011872336272725,179.997682676104,5.011872336272725,179.9845283682044,5.011872336272725,179.9611716642992,5.011872336272725,179.998963470893,5.011872336272725,179.9974928745966
6.309573444801935,179.9992570914642,6.309573444801935,179.9964843375418,6.309573444801935,179.9420546430881,6.309573444801935,179.9970826624048,6.309573444801935,179.9805223701928,6.309573444801935,179.9511180262,6.309573444801935,179.99869508751,6.309573444801935,179.9968437164673
7.943282347242818,179.9990647342543,7.943282347242818,179.9955740438892,7.943282347242818,179.9270511329226,7.943282347242818,179.9963272902544,7.943282347242818,179.9754791181128,7.943282347242818,179.9384612504073,7.943282347242818,179.9983572131903,7.943282347242818,179.9960264751479
10.00000000000001,179.9988225715423,10.00000000000001,179.9944280527696,10.00000000000001,179.9081628478527,10.00000000000001,179.995376333741,10.00000000000001,179.9691300411447,10.00000000000001,179.9225273230825,10.00000000000001,179.9979318553034,10.00000000000001,179.994997629972
12.58925411794168,179.9985177081064,12.58925411794168,179.9929853368035,12.58925411794168,179.8843839360397,12.58925411794168,179.9941791517789,12.58925411794168,179.9611370292622,12.58925411794168,179.9024677157285,12.58925411794168,179.9973963628,12.58925411794168,179.9937023920056
15.84893192461115,179.9981339104232,15.84893192461115,179.9911690677444,15.84893192461115,179.8544481199889,15.84893192461115,179.9926719916799,15.84893192461115,179.9510744283657,15.84893192461115,179.8772142034956,15.84893192461115,179.9967222203608,15.84893192461115,179.9920717867359
19.95262314968881,179.9976507431261,19.95262314968881,179.9888825258823,19.95262314968881,179.8167612807433,19.95262314968881,179.9907745948692,19.95262314968881,179.9384063740923,19.95262314968881,179.8454219894284,19.95262314968881,179.9958735306226,19.95262314968881,179.9900189817128
25.11886431509582,179.9970424818822,25.11886431509582,179.9860039508942,25.11886431509582,179.7693166010078,25.11886431509582,179.988385924331,25.11886431509582,179.9224582578798,25.11886431509582,179.8053981111872,25.11886431509582,179.9948051040121,25.11886431509582,179.9874346639242
31.62277660168382,179.9962767468415,31.62277660168382,179.9823800605752,31.62277660168382,179.7095877662682,31.62277660168382,179.9853787868893,31.62277660168382,179.9023808070631,31.62277660168382,179.7550113285951,31.62277660168382,179.9934600550915,31.62277660168382,179.9841812213805
39.81071705534977,179.995312783096,39.81071705534977,179.9778178934043,39.81071705534977,179.6343945713326,39.81071705534977,179.9815930650356,39.81071705534977,179.8771048685656,39.81071705534977,179.6915787145771,39.81071705534977,179.9917667785025,39.81071705534977,179.9800854201524
50.11872336272729,179.9940992999782,50.11872336272729,179.9720745422229,50.11872336272729,179.5397338449997,50.11872336272729,179.9768271995344,50.11872336272729,179.845284492298,50.11872336272729,179.6117229523332,50.11872336272729,179.9896351451077,50.11872336272729,179.9749291885768
63.0957344480194,179.992571754987,63.0957344480194,179.9648442343179,63.0957344480194,179.4205668262656,63.0957344480194,179.970827471194,63.0957344480194,179.8052252905941,63.0957344480194,179.5111928224875,63.0957344480194,179.9869517177381,63.0957344480194,179.9684380198552
79.43282347242825,179.9906489388231,79.43282347242825,179.9557420706953,79.43282347242825,179.2705519392674,79.43282347242825,179.963274511806,79.43282347242825,179.7547942692875,79.43282347242825,179.3846374828364,79.43282347242825,179.9835737325093,79.43282347242825,179.9602663762757
