IL,ITOT,VOUT,VDROP
0.0001,+4.181406E-03,1.69605481,0.811472441
0.0003,+4.361432E-03,1.6961315,0.759134146
0.0005,+4.556182E-03,1.69605704,0.706744837
0.001,+5.050496E-03,1.69611137,0.575877499
0.002,+6.041170E-03,1.69605533,0.314028584
0.003,+7.034807E-03,1.69591134,0.0514934333
0.004,+8.026421E-03,1.69603843,-0.21014563
0.005,+9.014272E-03,1.69641318,-0.471094588
0.006,+1.000543E-02,1.69638689,-0.732912561
0.007,+1.049986E-02,1.65200566,-0.994671864
0.008,+1.049986E-02,1.4918779,-1.25645308
0.009,+1.049986E-02,1.29783495,-1.51798962
0.01,+1.049984E-02,1.0618147,-1.77976978
