IL,ITOT,VOUT,VDROP
0.0001,+3.417527E-03,1.29711042,0.612510103
0.0003,+3.601323E-03,1.29717016,0.560137746
0.0005,+3.797108E-03,1.29709693,0.507809568
0.001,+4.291569E-03,1.29692523,0.3769342
0.002,+5.286156E-03,1.29710289,0.114477059
0.003,+6.277518E-03,1.29708844,-0.147191123
0.004,+7.265931E-03,1.29696521,-0.408193597
0.005,+8.257213E-03,1.2969509,-0.670033723
0.006,+9.247560E-03,1.29699598,-0.931497165
0.007,+1.023850E-02,1.29700222,-1.1932357
0.008,+1.049986E-02,1.29559659,-1.45500173
0.009,+1.049985E-02,1.08443602,-1.71678639
0.01,+1.049985E-02,0.867146615,-1.97853993
