IL,ITOT,VOUT,VDROP
0.0001,+2.261616E-03,0.699020073,0.314328633
0.0003,+2.448884E-03,0.698924148,0.261974581
0.0005,+2.650558E-03,0.698715278,0.208853176
0.001,+3.146857E-03,0.698607913,0.0780030694
0.002,+4.142588E-03,0.698409432,-0.183616242
0.003,+5.132431E-03,0.698357537,-0.444540561
0.004,+6.125150E-03,0.698361328,-0.706356982
0.005,+7.116474E-03,0.698297618,-0.968056217
0.006,+8.108561E-03,0.698139307,-1.22979009
0.007,+9.099036E-03,0.697987381,-1.49132044
0.008,+1.008971E-02,0.69798565,-1.7530845
0.009,+1.049986E-02,0.696581437,-2.01485494
0.01,+1.049983E-02,0.651771698,-2.27659762
