VIN,ITOT,VOUT,VDROP
1.8,+5.337552E-03,0.797257329,-0.393322426
1.775,+5.303266E-03,0.797158755,-0.393316972
1.75,+5.284491E-03,0.796928579,-0.393299884
1.725,+5.267210E-03,0.796611971,-0.393297418
1.7,+5.251546E-03,0.796312078,-0.393279955
1.675,+5.235870E-03,0.796060065,-0.393289782
1.65,+5.219707E-03,0.795819973,-0.393285593
1.625,+5.204120E-03,0.79582528,-0.393296348
1.6,+5.187337E-03,0.795748437,-0.393298747
1.575,+5.172607E-03,0.795630612,-0.393294483
1.55,+5.155932E-03,0.795352326,-0.393314109
1.525,+5.140561E-03,0.79525884,-0.393288845
1.5,+5.123897E-03,0.794981393,-0.393275324
1.475,+5.108842E-03,0.794719876,-0.393303926
1.45,+5.093106E-03,0.794379586,-0.393285089
1.425,+5.076136E-03,0.794573544,-0.393306311
1.4,+5.061316E-03,0.794442866,-0.393285904
1.375,+5.045388E-03,0.794393935,-0.393280972
1.35,+5.029435E-03,0.794206307,-0.393285287
1.325,+5.013982E-03,0.794029445,-0.393297477
1.3,+4.997902E-03,0.793772299,-0.393286529
1.275,+4.981859E-03,0.793823757,-0.39330347
1.25,+4.965512E-03,0.79366841,-0.393283608
1.225,+4.950495E-03,0.793556726,-0.393316541
1.2,+4.933207E-03,0.79340766,-0.393310698
1.175,+4.916652E-03,0.793353005,-0.393305341
1.15,+4.900628E-03,0.793297787,-0.393307056
1.125,+4.883403E-03,0.793175194,-0.393295734
1.1,+4.865718E-03,0.79299217,-0.393282624
1.075,+4.847169E-03,0.792954746,-0.393317973
1.05,+4.827488E-03,0.792792124,-0.393313839
1.025,+4.807631E-03,0.792503273,-0.393312941
1.0,+4.785410E-03,0.792245782,-0.393322154
