IL,ITOT,VOUT,VDROP
0.0001,+2.237473E-03,0.890657399,0.416432789
0.0003,+2.428709E-03,0.890639522,0.36385397
0.0005,+2.625542E-03,0.890539936,0.311279984
0.001,+3.124862E-03,0.89057785,0.178957331
0.002,+4.122675E-03,0.89051287,-0.083848998
0.003,+5.118009E-03,0.890566576,-0.345956981
0.004,+6.114188E-03,0.890595926,-0.608618405
0.005,+7.111645E-03,0.890638745,-0.871385577
0.006,+8.107271E-03,0.890390485,-1.13418443
0.007,+9.104278E-03,0.890851788,-1.39692337
0.008,+1.010229E-02,0.890675089,-1.659662
0.009,+1.049989E-02,0.889773937,-1.9221358
0.01,+1.049987E-02,0.663674891,-2.1847703
