IL,ITOT,VOUT,VDROP
0.0001,+3.324632E-03,1.29358112,0.612613448
0.0003,+3.518873E-03,1.2936337,0.560874145
0.0005,+3.715051E-03,1.29408854,0.509127154
0.001,+4.206731E-03,1.29403956,0.379852107
0.002,+5.189081E-03,1.29412801,0.120620221
0.003,+6.168072E-03,1.29405921,-0.137826259
0.004,+7.144497E-03,1.29392513,-0.395643633
0.005,+8.124856E-03,1.29371398,-0.654231767
0.006,+9.102776E-03,1.2939235,-0.912442119
0.007,+1.008402E-02,1.29382378,-1.17091737
0.008,+1.049990E-02,1.29128582,-1.42941481
0.009,+1.049990E-02,1.10403148,-1.6879029
0.01,+1.049989E-02,0.881078984,-1.94639126
