VIN,ITOT,VOUT,VDROP
1.8,+3.138187E-03,1.60590905,0.801031606
1.775,+3.141258E-03,1.60709392,0.801024645
1.75,+3.140680E-03,1.60961098,0.801032336
1.725,+3.165369E-03,1.61426365,0.801033348
1.7,+3.262493E-03,1.6402782,0.801023343
1.675,+3.341150E-03,1.66117471,0.801039995
1.65,+3.249255E-03,1.63744293,0.801003041
1.625,+3.152526E-03,1.61241911,0.801015905
1.6,+3.054229E-03,1.58691057,0.801026811
1.575,+2.953808E-03,1.56087976,0.801000635
1.55,+2.849612E-03,1.53393598,0.800999042
1.525,+2.737567E-03,1.50482532,0.801026338
1.5,+2.595575E-03,1.46778748,0.801023808
1.475,+2.418384E-03,1.42161632,0.800992757
1.45,+2.274923E-03,1.38435827,0.801010626
1.425,+2.147511E-03,1.35124706,0.801029606
1.4,+2.027956E-03,1.32016285,0.801020993
1.375,+1.913348E-03,1.29038189,0.801030591
1.35,+1.800999E-03,1.26129071,0.80104708
1.325,+1.691850E-03,1.23277118,0.801047558
1.3,+1.583557E-03,1.20463764,0.801038986
1.275,+1.476368E-03,1.17681567,0.80103491
1.25,+1.369750E-03,1.14926118,0.80103908
1.225,+1.264467E-03,1.12189027,0.801037797
1.2,+1.159537E-03,1.09469435,0.801045644
1.175,+1.055180E-03,1.06756375,0.80103799
1.15,+9.511039E-04,1.0406256,0.80105037
1.125,+8.473995E-04,1.01369803,0.801031119
1.1,+7.443090E-04,0.986979882,0.801009937
1.075,+6.418980E-04,0.960327617,0.80103809
1.05,+5.397690E-04,0.933850491,0.801017055
1.025,+4.383361E-04,0.907482544,0.800996913
1.0,+3.372399E-04,0.881293425,0.801018261
