IL,ITOT,VOUT,VDROP,VISET
0.0001,+3.084652E-04,1.44858002,1.40840516,1.4292058088235293
0.0003,+5.042093E-04,1.44849118,1.35604359,1.3763458088235294
0.0005,+7.019138E-04,1.44842372,1.3036617,1.3234858088235293
0.001,+1.197492E-03,1.44833602,1.1727358,1.1913358088235293
0.002,+2.189419E-03,1.44818689,0.910898218,0.9270358088235293
0.003,+3.180348E-03,1.44806338,0.649311903,0.6627358088235293
0.004,+4.172089E-03,1.4480379,0.387509654,0.39843580882352936
0.005,+5.167240E-03,1.44795499,0.124895091,0.13413580882352916
0.006,+6.158412E-03,1.44798257,-0.136794529,-0.13016419117647082
0.007,+7.147489E-03,1.44789453,-0.397897711,-0.3944641911764708
0.008,+8.138601E-03,1.4479495,-0.65949274,-0.658764191176471
0.009,+9.129871E-03,1.44787804,-0.921160073,-0.9230641911764705
0.01,+1.012141E-02,1.44779684,-1.18292591,-1.187364191176471
