IL,ITOT,VOUT,VDROP,VISET
0.0001,+2.511652E-04,1.60017438,1.55753155,1.5797888235294117
0.0003,+4.464789E-04,1.59972333,1.50516971,1.5269288235294118
0.0005,+6.445926E-04,1.5997052,1.4527666,1.474068823529412
0.001,+1.139706E-03,1.59946111,1.32185203,1.341918823529412
0.002,+2.131729E-03,1.5993293,1.06003105,1.077618823529412
0.003,+3.122678E-03,1.59925488,0.798421994,0.8133188235294119
0.004,+4.115159E-03,1.59914538,0.536598499,0.5490188235294118
0.005,+5.107410E-03,1.59921197,0.27479218,0.2847188235294118
0.006,+6.101141E-03,1.59896919,0.012249527,0.020418823529411823
0.007,+7.092817E-03,1.5989513,-0.249368645,-0.24388117647058816
0.008,+8.081809E-03,1.59891577,-0.510321678,-0.5081811764705884
0.009,+9.073154E-03,1.59884398,-0.772108369,-0.7724811764705883
0.01,+1.006480E-02,1.59882404,-1.03386833,-1.0367811764705883
