VIN,ITOT,VOUT,VDROP
1.8,+6.496086E-03,1.39601421,-0.0108503658
1.775,+6.430227E-03,1.39586053,-0.0108519476
1.75,+6.407050E-03,1.3956155,-0.0108487062
1.725,+6.388400E-03,1.39541865,-0.0108529733
1.7,+6.371317E-03,1.39520465,-0.01085217
1.675,+6.355947E-03,1.3950963,-0.0108527343
1.65,+6.339415E-03,1.39510003,-0.0108465602
1.625,+6.324452E-03,1.39500958,-0.0108515612
1.6,+6.309293E-03,1.39497748,-0.0108570959
1.575,+6.293847E-03,1.39493027,-0.0108509162
1.55,+6.277644E-03,1.3948467,-0.0108581411
1.525,+6.262436E-03,1.39475204,-0.0108513555
1.5,+6.245562E-03,1.39464562,-0.0108439915
1.475,+6.229812E-03,1.39427116,-0.0108398996
1.45,+6.214322E-03,1.39419865,-0.010848962
1.425,+6.199993E-03,1.39403263,-0.0108409448
1.4,+6.131044E-03,1.38193827,-0.0108475581
1.375,+5.983860E-03,1.35716522,-0.0108547719
1.35,+5.837284E-03,1.33227929,-0.0108455816
1.325,+5.693227E-03,1.30739612,-0.0108537962
1.3,+5.551945E-03,1.28247367,-0.0108585831
1.275,+5.414257E-03,1.25757283,-0.0108488063
1.25,+5.280287E-03,1.2326251,-0.0108539602
1.225,+5.150626E-03,1.20769978,-0.0108380676
1.2,+5.025217E-03,1.18280032,-0.0108537934
1.175,+4.903728E-03,1.15782975,-0.0108475665
1.15,+4.786426E-03,1.13289968,-0.0108611629
1.125,+4.672451E-03,1.10793942,-0.010861805
1.1,+4.561963E-03,1.08298432,-0.0108499405
1.075,+4.453962E-03,1.05800531,-0.0108540936
1.05,+4.348390E-03,1.03303624,-0.0108445225
1.025,+4.244608E-03,1.00803237,-0.0108508857
1.0,+4.142400E-03,0.983049012,-0.0108416842
