IL,ITOT,VOUT,VDROP
0.0001,+2.448321E-03,0.799866374,-0.0107431263
0.0003,+2.618343E-03,0.799673442,-0.010758588
0.0005,+2.813101E-03,0.799435897,-0.010760331
0.001,+3.314655E-03,0.799163004,-0.0107920606
0.002,+4.310851E-03,0.798634288,-0.0108535849
0.003,+5.298912E-03,0.798307274,-0.0109224204
0.004,+6.290305E-03,0.79811111,-0.0109754911
0.005,+7.279654E-03,0.797971793,-0.0110404319
0.006,+8.268033E-03,0.797929364,-0.0111044387
0.007,+9.256753E-03,0.797862788,-0.0111617098
0.008,+1.024553E-02,0.797657768,-0.0112181081
0.009,+1.049998E-02,0.796094998,-0.0112865905
0.01,+1.049996E-02,0.722080753,-0.0113490878
