IL,ITOT,VOUT,VDROP
0.0001,+3.032391E-03,1.09795789,-0.0107039744
0.0003,+3.197716E-03,1.09792671,-0.0107243565
0.0005,+3.390451E-03,1.09781558,-0.0107432653
0.001,+3.885599E-03,1.09751972,-0.0107678589
0.002,+4.881287E-03,1.09724232,-0.0108299198
0.003,+5.870875E-03,1.09706871,-0.0108906852
0.004,+6.857040E-03,1.09699699,-0.0109514646
0.005,+7.844290E-03,1.09687848,-0.0110067092
0.006,+8.832789E-03,1.09680325,-0.0110662904
0.007,+9.821088E-03,1.09668745,-0.0111171233
0.008,+1.049998E-02,1.09592698,-0.0111851665
0.009,+1.050000E-02,1.07713651,-0.011244984
0.01,+1.049998E-02,0.798122273,-0.0113056021
