IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.142404E-04,1.10253916,1.06037764,1.0778454411764706
0.0003,+1.119283E-03,1.10185582,1.00825615,1.0249854411764707
0.0005,+1.321610E-03,1.10179673,0.955851332,0.9721254411764707
0.001,+1.822518E-03,1.10150257,0.824959549,0.8399754411764706
0.002,+2.821067E-03,1.10164816,0.563186524,0.5756754411764706
0.003,+3.813388E-03,1.10134818,0.301404629,0.31137544117647065
0.004,+4.810812E-03,1.10125398,0.0387935254,0.04707544117647067
0.005,+5.803797E-03,1.10131498,-0.222806583,-0.2172245588235293
0.006,+6.794915E-03,1.10103425,-0.483683009,-0.4815245588235293
0.007,+7.785146E-03,1.10106584,-0.745405175,-0.7458245588235293
0.008,+8.779714E-03,1.10151723,-1.00712647,-1.0101245588235295
0.009,+9.769167E-03,1.10113349,-1.26887484,-1.2744245588235295
0.01,+1.049976E-02,1.09891381,-1.53042542,-1.5387245588235294
