IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.962209E-04,0.704905286,0.662879022,0.6762907352941177
0.0003,+1.108142E-03,0.704274011,0.610521148,0.6234307352941176
0.0005,+1.313762E-03,0.704128884,0.558190829,0.5705707352941176
0.001,+1.817507E-03,0.703273348,0.427298377,0.43842073529411757
0.002,+2.817480E-03,0.702912625,0.164590064,0.17412073529411753
0.003,+3.814027E-03,0.702741704,-0.0970709431,-0.09017926470588244
0.004,+4.806190E-03,0.702792192,-0.358013768,-0.35447926470588254
0.005,+5.799347E-03,0.70256187,-0.619611332,-0.6187792647058825
0.006,+6.789961E-03,0.70253644,-0.881300217,-0.8830792647058825
0.007,+7.783439E-03,0.702905714,-1.1430228,-1.1473792647058825
0.008,+8.774893E-03,0.702732627,-1.40475854,-1.4116792647058827
0.009,+9.766597E-03,0.70241159,-1.66647415,-1.6759792647058827
0.01,+1.049975E-02,0.700327348,-1.92799363,-1.9402792647058826
