IL,ITOT,VOUT,VDROP
0.0001,+3.975577E-03,1.68981279,0.813352492
0.0003,+4.133082E-03,1.69021969,0.76076023
0.0005,+4.322763E-03,1.69021053,0.708189453
0.001,+4.813888E-03,1.68990129,0.57670125
0.002,+5.800946E-03,1.68991163,0.313789589
0.003,+6.792030E-03,1.68974748,0.0501068587
0.004,+7.779767E-03,1.68972083,-0.212669457
0.005,+8.764801E-03,1.68980203,-0.474706321
0.006,+9.753968E-03,1.68976164,-0.737568929
0.007,+1.049986E-02,1.6849194,-1.00047881
0.008,+1.049986E-02,1.52726564,-1.26335649
0.009,+1.049985E-02,1.33201451,-1.5260262
0.01,+1.049985E-02,1.09839412,-1.78892997
