IL,ITOT,VOUT,VDROP
5e-05,+3.103668E-04,1.9927548,1.95889575
0.0001,+3.597753E-04,1.99273073,1.94257083
0.0003,+5.562503E-04,1.99266654,1.87757957
0.0005,+7.529631E-04,1.9926387,1.81259606
0.001,+1.244566E-03,1.99260319,1.6500175
0.002,+2.228199E-03,1.99258201,1.32489593
0.003,+3.211430E-03,1.99258075,1.00005368
0.004,+4.194679E-03,1.99259008,0.675020915
0.005,+5.178386E-03,1.99256755,0.34996602
0.006,+6.164224E-03,1.99259193,0.0243223801
0.007,+7.145476E-03,1.99262906,-0.300009628
0.008,+8.128869E-03,1.99266207,-0.62489197
0.009,+9.112173E-03,1.99266853,-0.949786648
0.01,+1.009582E-02,1.99270516,-1.27480419
