IL,ITOT,VOUT,VDROP
0.0001,+3.377950E-03,1.29583235,0.610726169
0.0003,+3.566750E-03,1.29594619,0.558604827
0.0005,+3.761325E-03,1.29590565,0.506452649
0.001,+4.255906E-03,1.29582695,0.376147399
0.002,+5.247098E-03,1.29580125,0.114860138
0.003,+6.235710E-03,1.29581847,-0.145656266
0.004,+7.220393E-03,1.29581,-0.405512132
0.005,+8.209465E-03,1.29575846,-0.666187017
0.006,+9.196202E-03,1.29575174,-0.926500287
0.007,+1.018319E-02,1.29576157,-1.18707878
0.008,+1.049987E-02,1.29423195,-1.44769785
0.009,+1.049986E-02,1.08576371,-1.70829111
0.01,+1.049985E-02,0.866390098,-1.96893044
