IL,ITOT,VOUT,VDROP
0.0001,+2.347302E-03,0.802085626,0.375475668
0.0003,+2.541434E-03,0.802125063,0.323655975
0.0005,+2.735831E-03,0.802155077,0.27186156
0.001,+3.223675E-03,0.801903642,0.14173442
0.002,+4.196326E-03,0.80210537,-0.11708841
0.003,+5.164706E-03,0.802146336,-0.375280407
0.004,+6.137072E-03,0.802049217,-0.634280806
0.005,+7.109374E-03,0.802163259,-0.893092906
0.006,+8.079799E-03,0.802076587,-1.15170827
0.007,+9.052604E-03,0.802151233,-1.41054821
0.008,+1.002591E-02,0.802285454,-1.66935241
0.009,+1.049995E-02,0.800061374,-1.92815184
0.01,+1.049993E-02,0.674198865,-2.18661054
