IL,ITOT,VOUT,VDROP
0.0001,+3.281405E-03,1.29768425,0.621312687
0.0003,+3.474196E-03,1.29766147,0.569491806
0.0005,+3.668712E-03,1.29770704,0.517676463
0.001,+4.154752E-03,1.29763532,0.388149405
0.002,+5.128299E-03,1.29772471,0.128647747
0.003,+6.102029E-03,1.29790729,-0.130199906
0.004,+7.070209E-03,1.29792452,-0.388391325
0.005,+8.042751E-03,1.29795725,-0.647327356
0.006,+9.014357E-03,1.29803228,-0.90589032
0.007,+9.987084E-03,1.29806094,-1.16474173
0.008,+1.049994E-02,1.29466381,-1.42359005
0.009,+1.049994E-02,1.13155099,-1.68235913
0.01,+1.049993E-02,0.908388505,-1.94111319
