IL,ITOT,VOUT,VDROP
5e-05,+2.854987E-04,1.98928114,1.970544
0.0001,+3.348865E-04,1.9892166,1.95406509
0.0003,+5.331969E-04,1.989126,1.88842907
0.0005,+7.311041E-04,1.98908792,1.82278772
0.001,+1.227651E-03,1.98904805,1.6585705
0.002,+2.220379E-03,1.98898436,1.33018339
0.003,+3.212139E-03,1.98893504,1.00203385
0.004,+4.204758E-03,1.98889023,0.673631705
0.005,+5.196759E-03,1.9889018,0.34524208
0.006,+6.191093E-03,1.98887187,0.0163356957
0.007,+7.180747E-03,1.98886592,-0.311203331
0.008,+8.172654E-03,1.98889763,-0.639367032
0.009,+9.164701E-03,1.98888972,-0.967561948
0.01,+1.015671E-02,1.9889458,-1.29588319
