time,VOUT
0,1.304561021208552
9.999999999999999e-12,1.304561021265122
1.194006554591031e-11,1.304354030497519
1.582019663773092e-11,1.304226263066631
1.880706191136945e-11,1.304129127426264
2.282227419658617e-11,1.3040026875598
3.006805466077689e-11,1.303784751242268
4.044445571618056e-11,1.303487319263544
5.0425682365198e-11,1.303206877561851
6.064794585941772e-11,1.302912990822588
7.13613832669473e-11,1.302584706889483
8.281937475649359e-11,1.302198046250967
9.57649984125411e-11,1.301705596088501
1.112942738820208e-10,1.301030081643405
1.316934153842732e-10,1.300011501213885
1.534941160613426e-10,1.298792852575806
1.719391638455511e-10,1.297689915195642
1.903979945069919e-10,1.296551567417145
2.099846741626024e-10,1.29533233460754
2.313868798395735e-10,1.294004734706887
2.576585414124412e-10,1.292387177675222
2.830728996260832e-10,1.290825492682999
3.069193212304866e-10,1.289350154679248
3.322760737841802e-10,1.287759401954813
3.625514597495728e-10,1.285825139638193
4.143994572151977e-10,1.282447792933087
4.62190198309524e-10,1.279295213443628
5.118995451645064e-10,1.275999234479783
5.841619540842973e-10,1.271185521596301
6.541567146361095e-10,1.266491687161232
7.290117261853172e-10,1.261439447926099
8.234466334157253e-10,1.255033246929261
9.26862921687984e-10,1.247993763439915
1.043543762844807e-09,1.240035957039914
1.19029475993928e-09,1.230023418091467
1.403519094016101e-09,1.215505303387979
1.570618864706373e-09,1.204175241180732
1.718525168236622e-09,1.194197402011109
1.868615729453609e-09,1.184135388821576
2.029730985265592e-09,1.173424408688598
2.226853941877177e-09,1.160490394690237
2.543339807098326e-09,1.140327627440205
2.879993790797169e-09,1.120193652224409
3.173887043296613e-09,1.104361190709347
3.435044783794275e-09,1.092281710925064
3.678403480102119e-09,1.083275362307944
3.912831948874642e-09,1.077152517035334
4.146932206478786e-09,1.073981342547143
4.388938320648666e-09,1.074171384004698
4.644865674890956e-09,1.078472854609541
4.872352429722717e-09,1.085893454446615
5.084315680667198e-09,1.095760905347717
