IL,ITOT,VOUT,VDROP
0.0001,+3.944460E-03,1.59176613,0.759684804
0.0003,+4.129270E-03,1.59196447,0.707484186
0.0005,+4.326259E-03,1.59207101,0.655291302
0.001,+4.821732E-03,1.59194467,0.524778915
0.002,+5.810346E-03,1.59209729,0.264072155
0.003,+6.803006E-03,1.59223216,0.00224781535
0.004,+7.794468E-03,1.59207321,-0.258531177
0.005,+8.782974E-03,1.59222023,-0.518788296
0.006,+9.771717E-03,1.5924073,-0.779443983
0.007,+1.049992E-02,1.59213253,-1.04040711
0.008,+1.049991E-02,1.43307519,-1.30131025
0.009,+1.049991E-02,1.24449932,-1.56226209
0.01,+1.049991E-02,1.01143476,-1.82321126
