IL,ITOT,VOUT,VDROP
5e-05,+2.318553E-04,2.00442605,1.98831543
0.0001,+2.810040E-04,2.00443244,1.9717323
0.0003,+4.794798E-04,2.00441909,1.90581251
0.0005,+6.775915E-04,2.0043745,1.84017456
0.001,+1.173254E-03,2.00437071,1.67586554
0.002,+2.164912E-03,2.00436112,1.34748143
0.003,+3.156278E-03,2.00434655,1.01936153
0.004,+4.148460E-03,2.00439256,0.691058808
0.005,+5.140536E-03,2.00441217,0.362808534
0.006,+6.134513E-03,2.00434789,0.0339018062
0.007,+7.124899E-03,2.00439419,-0.293715951
0.008,+8.116620E-03,2.00439679,-0.621743118
0.009,+9.108559E-03,2.00440581,-0.949811509
0.01,+1.010022E-02,2.00447246,-1.27784639
