IL,ITOT,VOUT,VDROP,VISET
0.0001,+2.609988E-04,1.69957857,1.65697457,1.6801774999999999
0.0003,+4.501055E-04,1.69931169,1.60460043,1.6273175
0.0005,+6.457241E-04,1.69914494,1.55225681,1.5744574999999998
0.001,+1.140187E-03,1.69893933,1.42133553,1.4423074999999999
0.002,+2.131338E-03,1.69871029,1.1594966,1.1780074999999999
0.003,+3.122753E-03,1.69855706,0.897652183,0.9137074999999999
0.004,+4.113599E-03,1.69846238,0.636073002,0.6494074999999999
0.005,+5.105361E-03,1.69834972,0.37427739,0.38510749999999994
0.006,+6.100324E-03,1.69827392,0.111650724,0.12080749999999973
0.007,+7.091383E-03,1.69818088,-0.149988334,-0.14349250000000024
0.008,+8.080517E-03,1.69812165,-0.411078026,-0.4077925
0.009,+9.071932E-03,1.69815018,-0.672683334,-0.6720925
0.01,+1.006336E-02,1.69810143,-0.934362965,-0.9363925
