IL,ITOT,VOUT,VDROP,VISET
0.0001,+2.602067E-04,1.59948265,1.55754795,1.5797888235294117
0.0003,+4.499768E-04,1.59948718,1.50509508,1.5269288235294118
0.0005,+6.458563E-04,1.59948917,1.4527406,1.474068823529412
0.001,+1.140776E-03,1.59920631,1.32183451,1.341918823529412
0.002,+2.131809E-03,1.59902791,1.05999044,1.077618823529412
0.003,+3.122871E-03,1.59893375,0.798406667,0.8133188235294119
0.004,+4.114554E-03,1.59885014,0.536576076,0.5490188235294118
0.005,+5.107459E-03,1.59911076,0.274751404,0.2847188235294118
0.006,+6.101131E-03,1.59871413,0.0122687203,0.020418823529411823
0.007,+7.092808E-03,1.59897087,-0.249347635,-0.24388117647058816
0.008,+8.081016E-03,1.59866484,-0.510310814,-0.5081811764705884
0.009,+9.073092E-03,1.59867329,-0.772108674,-0.7724811764705883
0.01,+1.006492E-02,1.5985963,-1.03385246,-1.0367811764705883
