"VOUT_LOAD (Temp=0,VREF_LOAD=0.05) X","VOUT_LOAD (Temp=0,VREF_LOAD=0.05) Y","VOUT_LOAD (Temp=0,VREF_LOAD=0.25) X","VOUT_LOAD (Temp=0,VREF_LOAD=0.25) Y","VOUT_LOAD (Temp=0,VREF_LOAD=0.45) X","VOUT_LOAD (Temp=0,VREF_LOAD=0.45) Y","VOUT_LOAD (Temp=0,VREF_LOAD=0.65) X","VOUT_LOAD (Temp=0,VREF_LOAD=0.65) Y","VOUT_LOAD (Temp=0,VREF_LOAD=0.85) X","VOUT_LOAD (Temp=0,VREF_LOAD=0.85) Y","VOUT_LOAD (Temp=27,VREF_LOAD=0.05) X","VOUT_LOAD (Temp=27,VREF_LOAD=0.05) Y","VOUT_LOAD (Temp=27,VREF_LOAD=0.25) X","VOUT_LOAD (Temp=27,VREF_LOAD=0.25) Y","VOUT_LOAD (Temp=27,VREF_LOAD=0.45) X","VOUT_LOAD (Temp=27,VREF_LOAD=0.45) Y","VOUT_LOAD (Temp=27,VREF_LOAD=0.65) X","VOUT_LOAD (Temp=27,VREF_LOAD=0.65) Y","VOUT_LOAD (Temp=27,VREF_LOAD=0.85) X","VOUT_LOAD (Temp=27,VREF_LOAD=0.85) Y","VOUT_LOAD (Temp=125,VREF_LOAD=0.05) X","VOUT_LOAD (Temp=125,VREF_LOAD=0.05) Y","VOUT_LOAD (Temp=125,VREF_LOAD=0.25) X","VOUT_LOAD (Temp=125,VREF_LOAD=0.25) Y","VOUT_LOAD (Temp=125,VREF_LOAD=0.45) X","VOUT_LOAD (Temp=125,VREF_LOAD=0.45) Y","VOUT_LOAD (Temp=125,VREF_LOAD=0.65) X","VOUT_LOAD (Temp=125,VREF_LOAD=0.65) Y","VOUT_LOAD (Temp=125,VREF_LOAD=0.85) X","VOUT_LOAD (Temp=125,VREF_LOAD=0.85) Y","VOUT_LOAD (Temp=-55,VREF_LOAD=0.05) X","VOUT_LOAD (Temp=-55,VREF_LOAD=0.05) Y","VOUT_LOAD (Temp=-55,VREF_LOAD=0.25) X","VOUT_LOAD (Temp=-55,VREF_LOAD=0.25) Y","VOUT_LOAD (Temp=-55,VREF_LOAD=0.45) X","VOUT_LOAD (Temp=-55,VREF_LOAD=0.45) Y","VOUT_LOAD (Temp=-55,VREF_LOAD=0.65) X","VOUT_LOAD (Temp=-55,VREF_LOAD=0.65) Y","VOUT_LOAD (Temp=-55,VREF_LOAD=0.85) X","VOUT_LOAD (Temp=-55,VREF_LOAD=0.85) Y","VOUT_LOAD (Temp=-100,VREF_LOAD=0.05) X","VOUT_LOAD (Temp=-100,VREF_LOAD=0.05) Y","VOUT_LOAD (Temp=-100,VREF_LOAD=0.25) X","VOUT_LOAD (Temp=-100,VREF_LOAD=0.25) Y","VOUT_LOAD (Temp=-100,VREF_LOAD=0.45) X","VOUT_LOAD (Temp=-100,VREF_LOAD=0.45) Y","VOUT_LOAD (Temp=-100,VREF_LOAD=0.65) X","VOUT_LOAD (Temp=-100,VREF_LOAD=0.65) Y","VOUT_LOAD (Temp=-100,VREF_LOAD=0.85) X","VOUT_LOAD (Temp=-100,VREF_LOAD=0.85) Y"
1e-09,0.1405184065844902,1e-09,0.5089908023514935,1e-09,0.9058607524295034,1e-09,1.304639094147712,1e-09,1.703912530575735,1e-09,0.2572156532604463,1e-09,0.5140972781440928,1e-09,0.9084366624700049,1e-09,1.306354754947334,1e-09,1.705109384198376,1e-09,1.293550639528997,1e-09,1.293437608570676,1e-09,1.292842491993658,1e-09,1.329565408420616,1e-09,1.716892695655065,1e-09,0.115315058179802,1e-09,0.5034462579270657,1e-09,0.9024499221623032,1e-09,1.302013989918767,1e-09,1.701714166623701,1e-09,0.1089536970430005,1e-09,0.5024726679051462,1e-09,0.9020942297044241,1e-09,1.301887419851832,1e-09,1.70172343600754
1.258925411794167e-09,0.1405103239124825,1.258925411794167e-09,0.5089905922476211,1.258925411794167e-09,0.9058606999390076,1.258925411794167e-09,1.304639073293231,1.258925411794167e-09,1.70391252096469,1.258925411794167e-09,0.2571810649586609,1.258925411794167e-09,0.5140968269382838,1.258925411794167e-09,0.9084365679087129,1.258925411794167e-09,1.306354716688461,1.258925411794167e-09,1.705109366562311,1.258925411794167e-09,1.293550713454242,1.258925411794167e-09,1.29343887371954,1.258925411794167e-09,1.292827299617905,1.258925411794167e-09,1.329563898531414,1.258925411794167e-09,1.716892586261508,1.258925411794167e-09,0.1153131352280412,1.258925411794167e-09,0.5034461973340915,1.258925411794167e-09,0.9024499076440295,1.258925411794167e-09,1.302013983324995,1.258925411794167e-09,1.70171417896376,1.258925411794167e-09,0.1089528564266214,1.258925411794167e-09,0.5024726537181211,1.258925411794167e-09,0.9020942253729203,1.258925411794167e-09,1.301887430044754,1.258925411794167e-09,1.701723437016133
1.584893192461114e-09,0.1405001557837022,1.584893192461114e-09,0.5089903274892028,1.584893192461114e-09,0.9058606338643214,1.584893192461114e-09,1.30463904695898,1.584893192461114e-09,1.703912508847568,1.584893192461114e-09,0.2571375232200175,1.584893192461114e-09,0.5140962590426493,1.584893192461114e-09,0.9084364488757146,1.584893192461114e-09,1.306354668182669,1.584893192461114e-09,1.705109344294496,1.584893192461114e-09,1.293531687104376,1.584893192461114e-09,1.293419843495736,1.584893192461114e-09,1.292808173932564,1.584893192461114e-09,1.329561998577402,1.584893192461114e-09,1.716892448548409,1.584893192461114e-09,0.1153107162123805,1.584893192461114e-09,0.5034461210313411,1.584893192461114e-09,0.902449888159244,1.584893192461114e-09,1.302013975013843,1.584893192461114e-09,1.701714174577732,1.584893192461114e-09,0.1089517990829681,1.584893192461114e-09,0.5024726358573145,1.584893192461114e-09,0.90209421974423,1.584893192461114e-09,1.301887427308933,1.584893192461114e-09,1.701723435491638
1.99526231496888e-09,0.1404873703551124,1.99526231496888e-09,0.5089899942426066,1.99526231496888e-09,0.9058605506897467,1.99526231496888e-09,1.304639013808496,1.99526231496888e-09,1.703912493593826,1.99526231496888e-09,0.2570827103329793,1.99526231496888e-09,0.5140955442746885,1.99526231496888e-09,0.9084362990376372,1.99526231496888e-09,1.306354607121799,1.99526231496888e-09,1.705109316262514,1.99526231496888e-09,1.293507734995429,1.99526231496888e-09,1.293395886508116,1.99526231496888e-09,1.292784096602251,1.99526231496888e-09,1.329559607760587,1.99526231496888e-09,1.716892275188199,1.99526231496888e-09,0.1153076731030439,1.99526231496888e-09,0.5034460249901977,1.99526231496888e-09,0.9024498636319294,1.99526231496888e-09,1.30201396455142,1.99526231496888e-09,1.701714169055765,1.99526231496888e-09,0.1089504691049546,1.99526231496888e-09,0.5024726133758208,1.99526231496888e-09,0.9020942126587888,1.99526231496888e-09,1.301887423864045,1.99526231496888e-09,1.701723433572525
2.511886431509581e-09,0.1404712989422478,2.511886431509581e-09,0.5089895748121811,2.511886431509581e-09,0.9058604459926712,2.511886431509581e-09,1.304638972078263,2.511886431509581e-09,1.703912474391784,2.511886431509581e-09,0.2570137096168966,2.511886431509581e-09,0.5140946447048406,2.511886431509581e-09,0.9084361104273602,2.511886431509581e-09,1.30635453025752,2.511886431509581e-09,1.705109280974771,2.511886431509581e-09,1.293477581870413,2.511886431509581e-09,1.293365727240062,2.511886431509581e-09,1.292753785801372,2.511886431509581e-09,1.329556599616309,2.511886431509581e-09,1.716892056956961,2.511886431509581e-09,0.1153038456180121,2.511886431509581e-09,0.5034459041105934,2.511886431509581e-09,0.9024498327578508,2.511886431509581e-09,1.302013951381116,2.511886431509581e-09,1.701714162104449,2.511886431509581e-09,0.1089487965639944,2.511886431509581e-09,0.5024725850795271,2.511886431509581e-09,0.9020942037397783,2.511886431509581e-09,1.30188741952753,2.511886431509581e-09,1.701723431156645
3.16227766016838e-09,0.1404511049323611,3.16227766016838e-09,0.508989046942418,3.16227766016838e-09,0.9058603142082652,3.16227766016838e-09,1.304638919548959,3.16227766016838e-09,1.70391245021988,3.16227766016838e-09,0.2569268502013831,3.16227766016838e-09,0.51409351264073,3.16227766016838e-09,0.908435873020205,3.16227766016838e-09,1.3063544335019,3.16227766016838e-09,1.705109236553987,3.16227766016838e-09,1.293439622593357,3.16227766016838e-09,1.293327760228783,3.16227766016838e-09,1.292715627970529,3.16227766016838e-09,1.329552815303492,3.16227766016838e-09,1.716891782245993,3.16227766016838e-09,0.1152990327364573,3.16227766016838e-09,0.503445751978174,3.16227766016838e-09,0.9024497938959952,3.16227766016838e-09,1.302013934802438,3.16227766016838e-09,1.701714153353943,3.16227766016838e-09,0.1089466938102084,3.16227766016838e-09,0.502472549466472,3.16227766016838e-09,0.90209419251304,3.16227766016838e-09,1.301887414068722,3.16227766016838e-09,1.701723428115466
3.981071705534974e-09,0.1404257432932251,3.981071705534974e-09,0.508988382650137,3.981071705534974e-09,0.9058601483354449,3.981071705534974e-09,1.304638853427909,3.981071705534974e-09,1.703912419792479,3.981071705534974e-09,0.2568175191596427,3.981071705534974e-09,0.5140920881331148,3.981071705534974e-09,0.908435574204281,3.981071705534974e-09,1.306354311710867,3.981071705534974e-09,1.70510918063764,3.981071705534974e-09,1.293391836687507,3.981071705534974e-09,1.29327996458436,3.981071705534974e-09,1.29266759202187,3.981071705534974e-09,1.329548055435114,3.981071705534974e-09,1.716891436446399,3.981071705534974e-09,0.1152929877656759,3.981071705534974e-09,0.5034455605276456,3.981071705534974e-09,0.9024497449818113,3.981071705534974e-09,1.302013913933895,3.981071705534974e-09,1.701714142338788,3.981071705534974e-09,0.1089440511064963,3.981071705534974e-09,0.5024725046479198,3.981071705534974e-09,0.9020941783820021,3.981071705534974e-09,1.301887407197346,3.981071705534974e-09,1.701723424287208
5.011872336272725e-09,0.1403939112978232,5.011872336272725e-09,0.5089875467617405,5.011872336272725e-09,0.9058599395676693,5.011872336272725e-09,1.304638770201372,5.011872336272725e-09,1.703912381491757,5.011872336272725e-09,0.2566798935122972,5.011872336272725e-09,0.5140902958556591,5.011872336272725e-09,0.9084351981155087,5.011872336272725e-09,1.306354158412091,5.011872336272725e-09,1.705109110252805,5.011872336272725e-09,1.293331680954597,5.011872336272725e-09,1.293219796588037,5.011872336272725e-09,1.292607121377957,5.011872336272725e-09,1.329542069917626,5.011872336272725e-09,1.716891001175499,5.011872336272725e-09,0.1152853881708651,5.011872336272725e-09,0.5034453196210843,5.011872336272725e-09,0.9024496834183331,5.011872336272725e-09,1.302013887666356,5.011872336272725e-09,1.701714128473241,5.011872336272725e-09,0.108940731259523,5.011872336272725e-09,0.5024724482494594,5.011872336272725e-09,0.9020941605961775,5.011872336272725e-09,1.301887398548156,5.011872336272725e-09,1.701723419468296
6.309573444801935e-09,0.1403539891264401,6.309573444801935e-09,0.5089864950835166,6.309573444801935e-09,0.905859676829726,6.309573444801935e-09,1.304638665449031,6.309573444801935e-09,1.703912333282094,6.309573444801935e-09,0.2565066639355679,6.309573444801935e-09,0.5140880412081612,6.309573444801935e-09,0.9084347248033356,6.309573444801935e-09,1.30635396546323,6.309573444801935e-09,1.705109021658876,6.309573444801935e-09,1.293255954379483,6.309573444801935e-09,1.293144054569098,6.309573444801935e-09,1.292530998153756,6.309573444801935e-09,1.329534545354078,6.309573444801935e-09,1.716890453304886,6.309573444801935e-09,0.1152758440479637,6.309573444801935e-09,0.5034450165203748,6.309573444801935e-09,0.902449605939583,6.309573444801935e-09,1.302013854604452,6.309573444801935e-09,1.701714111020265,6.309573444801935e-09,0.1089365630594892,6.309573444801935e-09,0.5024723772872036,6.309573444801935e-09,0.9020941382116446,6.309573444801935e-09,1.301887387661624,6.309573444801935e-09,1.70172341340256
7.943282347242819e-09,0.1403039691640671,7.943282347242819e-09,0.50898517211681,7.943282347242819e-09,0.9058593461970716,7.943282347242819e-09,1.304638533611129,7.943282347242819e-09,1.703912272602545,7.943282347242819e-09,0.2562886299631508,7.943282347242819e-09,0.5140852054593309,7.943282347242819e-09,0.9084341291849639,7.943282347242819e-09,1.306353722622912,7.943282347242819e-09,1.705108910150016,7.943282347242819e-09,1.293160628202157,7.943282347242819e-09,1.293048708941622,7.943282347242819e-09,1.292435172309326,7.943282347242819e-09,1.329525099350975,7.943282347242819e-09,1.716889763739794,7.943282347242819e-09,0.115263865304655,7.943282347242819e-09,0.5034446352283893,7.943282347242819e-09,0.902449508439338,7.943282347242819e-09,1.302013812993021,7.943282347242819e-09,1.701714089052566,7.943282347242819e-09,0.1089313333319209,7.943282347242819e-09,0.5024722880130739,7.943282347242819e-09,0.9020941100414708,7.943282347242819e-09,1.301887373959703,7.943282347242819e-09,1.701723405767696
