IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.266621E-04,1.29612182,1.25500859,1.2786227941176471
0.0003,+1.126323E-03,1.2956805,1.20284421,1.2257627941176472
0.0005,+1.329480E-03,1.29564771,1.15066902,1.172902794117647
0.001,+1.829475E-03,1.29559458,1.0202291,1.040752794117647
0.002,+2.824863E-03,1.2954988,0.759382092,0.7764527941176471
0.003,+3.816425E-03,1.29552604,0.498760806,0.512152794117647
0.004,+4.808567E-03,1.29553983,0.2370554,0.24785279411764694
0.005,+5.800332E-03,1.29571,-0.0237051071,-0.016447205882353044
0.006,+6.786587E-03,1.29583061,-0.283684979,-0.280747205882353
0.007,+7.777458E-03,1.29569584,-0.544504463,-0.5450472058823532
0.008,+8.765942E-03,1.2960362,-0.805060481,-0.809347205882353
0.009,+9.753186E-03,1.29595209,-1.06587968,-1.0736472058823525
0.01,+1.049988E-02,1.29537531,-1.32665792,-1.337947205882353
