IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.085396E-04,1.00677071,0.974723988,0.9774567647058824
0.0003,+1.102522E-03,1.00647323,0.922487984,0.9245967647058824
0.0005,+1.297441E-03,1.00619425,0.870331314,0.8717367647058823
0.001,+1.783982E-03,1.00616135,0.740101124,0.7395867647058824
0.002,+2.752936E-03,1.00580858,0.479725795,0.47528676470588227
0.003,+3.723153E-03,1.00524449,0.218803756,0.2109867647058823
0.004,+4.692059E-03,1.00513916,-0.0414041207,-0.05331323529411769
0.005,+5.658549E-03,1.00507545,-0.300811571,-0.3176132352941179
0.006,+6.629141E-03,1.00488273,-0.561031951,-0.5819132352941179
0.007,+7.599886E-03,1.00464679,-0.821225349,-0.8462132352941178
0.008,+8.571319E-03,1.00468879,-1.08144021,-1.110513235294118
0.009,+9.543469E-03,1.00456232,-1.34134275,-1.3748132352941176
0.01,+1.050005E-02,1.00432275,-1.60125505,-1.639113235294118
