IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.661648E-04,1.32136584,1.28151218,1.2786227941176471
0.0003,+1.161946E-03,1.32126921,1.22924727,1.2257627941176472
0.0005,+1.356340E-03,1.32126945,1.17702647,1.172902794117647
0.001,+1.835970E-03,1.32111594,1.04656035,1.040752794117647
0.002,+2.792021E-03,1.32113539,0.785678922,0.7764527941176471
0.003,+3.745207E-03,1.32110282,0.525263332,0.512152794117647
0.004,+4.701578E-03,1.32110411,0.263753878,0.24785279411764694
0.005,+5.653676E-03,1.32117383,0.00319894641,-0.016447205882353044
0.006,+6.603400E-03,1.32117255,-0.25669395,-0.280747205882353
0.007,+7.556055E-03,1.32113228,-0.517330584,-0.5450472058823532
0.008,+8.508271E-03,1.32124096,-0.777638689,-0.809347205882353
0.009,+9.461178E-03,1.32127916,-1.03818454,-1.0736472058823525
0.01,+1.041400E-02,1.32124703,-1.2986047,-1.337947205882353
