IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.418139E-04,1.11691119,1.07924797,1.0778454411764706
0.0003,+1.135289E-03,1.11660245,1.02718906,1.0249854411764707
0.0005,+1.328817E-03,1.11626599,0.974947496,0.9721254411764707
0.001,+1.810411E-03,1.11602897,0.844502662,0.8399754411764706
0.002,+2.771427E-03,1.11569593,0.583861608,0.5756754411764706
0.003,+3.730476E-03,1.11529842,0.323334598,0.31137544117647065
0.004,+4.692988E-03,1.11509263,0.0622084885,0.04707544117647067
0.005,+5.652410E-03,1.11487968,-0.198261585,-0.2172245588235293
0.006,+6.610497E-03,1.11471985,-0.457963039,-0.4815245588235293
0.007,+7.572825E-03,1.11436949,-0.718501575,-0.7458245588235293
0.008,+8.534850E-03,1.11426078,-0.97889176,-1.0101245588235295
0.009,+9.497853E-03,1.11397996,-1.23932743,-1.2744245588235295
0.01,+1.046096E-02,1.11374412,-1.49949076,-1.5387245588235294
