IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.658979E-04,1.59824052,1.55797424,1.5797888235294117
0.0003,+1.080944E-03,1.597504,1.50557525,1.5269288235294118
0.0005,+1.292605E-03,1.59721983,1.45315212,1.474068823529412
0.001,+1.805470E-03,1.59674257,1.32216779,1.341918823529412
0.002,+2.810371E-03,1.59615405,1.06010877,1.077618823529412
0.003,+3.807671E-03,1.59611999,0.798318387,0.8133188235294119
0.004,+4.803480E-03,1.59614851,0.536303193,0.5490188235294118
0.005,+5.798250E-03,1.59619282,0.274302702,0.2847188235294118
0.006,+6.794610E-03,1.59631964,0.0116408364,0.020418823529411823
0.007,+7.787571E-03,1.59648301,-0.250180354,-0.24388117647058816
0.008,+8.777160E-03,1.59655079,-0.511359888,-0.5081811764705884
0.009,+9.769247E-03,1.59654883,-0.773263573,-0.7724811764705883
0.01,+1.049987E-02,1.59582381,-1.03523341,-1.0367811764705883
