time,2*VREF
0,0.1
9.999999999999999e-12,0.1
1.193820718546097e-11,0.1
1.581462155638291e-11,0.1
1.879945557068878e-11,0.1
2.280863322205027e-11,0.1
3.003883992336863e-11,0.1
4.020085628679405e-11,0.1
5.000046324275917e-11,0.1
6.006063122842114e-11,0.1
7.064579450792674e-11,0.1
8.208065239537781e-11,0.1
9.527862610235666e-11,0.1
1.115065836783848e-10,0.1
1.370158360119317e-10,0.1
1.557561908339142e-10,0.1
1.730432780029743e-10,0.1
1.914474513340333e-10,0.1
2.10833726089704e-10,0.1
2.339916100822609e-10,0.1
2.587926206950365e-10,0.1
2.809629505375381e-10,0.1
3.038566172481037e-10,0.1
3.304178041467844e-10,0.1
3.709037115222115e-10,0.1
4.147157890801783e-10,0.1
4.564590561347822e-10,0.1
5.152469767933991e-10,0.1
5.801103175083761e-10,0.1
6.406582401412307e-10,0.1
7.261485325985406e-10,0.1
8.349559092990078e-10,0.1
9.525184021088112e-10,0.1
1.093005768439264e-09,0.1
1.308086669112853e-09,0.1
1.535260732156167e-09,0.1
1.712183365028744e-09,0.1
1.892207827683576e-09,0.1
2.087289549489677e-09,0.1
2.324202573254942e-09,0.1
2.625114761159477e-09,0.1
2.948453240863106e-09,0.1
3.271484558736169e-09,0.1
3.559263205498166e-09,0.1
3.821387050782205e-09,0.1
4.073260367912582e-09,0.1
4.320637887985574e-09,0.1
4.567197501420227e-09,0.1
4.81728401626767e-09,0.1
5.075974874318638e-09,0.1
5.342788858080302e-09,0.1
5.613592829384435e-09,0.1
5.89102533654626e-09,0.1
6.183138522664121e-09,0.1
6.479945733383439e-09,0.1
6.784850035431188e-09,0.1
7.086844913472064e-09,0.1
7.354195198875061e-09,0.1
7.597524847908832e-09,0.1
7.825824614907281e-09,0.1
8.042785741780824e-09,0.1
8.251750267632555e-09,0.1
8.455131596517345e-09,0.1
8.654787334569e-09,0.1
8.852597022893685e-09,0.1
9.050848643770968e-09,0.1
9.252323587654455e-09,0.1
9.46050070183619e-09,0.1
9.675706129866468e-09,0.1
9.842853064933235e-09,0.1
1.001e-08,0.1
1.002085615477209e-08,0.1
1.003227333978421e-08,0.1
1.004624897288527e-08,0.1
1.006386080349761e-08,0.1
1.007951841859924e-08,0.1
1.009464975868674e-08,0.1
1.011111925652752e-08,0.1
1.012996127120947e-08,0.1
1.015309954174651e-08,0.1
1.018380782278293e-08,0.1
