IL,ITOT,VOUT,VDROP
0.0001,+2.040618E-03,0.599659277,0.26469832
0.0003,+2.231329E-03,0.599844803,0.211487915
0.0005,+2.429031E-03,0.599600107,0.159147518
0.001,+2.925071E-03,0.599359954,0.028355355
0.002,+3.918820E-03,0.598910207,-0.233198403
0.003,+4.910358E-03,0.598911216,-0.494263013
0.004,+5.901303E-03,0.598703859,-0.755706657
0.005,+6.892437E-03,0.598714933,-1.01743317
0.006,+7.884285E-03,0.598678969,-1.2791227
0.007,+8.875279E-03,0.598629776,-1.54082561
0.008,+9.866480E-03,0.59866811,-1.80254572
0.009,+1.049988E-02,0.597527209,-2.06405317
0.01,+1.049985E-02,0.594522026,-2.32573766
