"PSR (IL=0.2,Temp=125,harmonic=0) X","PSR (IL=0.2,Temp=125,harmonic=0) Y","PSR (IL=0.2,Temp=-55,harmonic=0) X","PSR (IL=0.2,Temp=-55,harmonic=0) Y","PSR (IL=0.2,Temp=-180,harmonic=0) X","PSR (IL=0.2,Temp=-180,harmonic=0) Y","PSR (IL=0.02,Temp=125,harmonic=0) X","PSR (IL=0.02,Temp=125,harmonic=0) Y","PSR (IL=0.02,Temp=-55,harmonic=0) X","PSR (IL=0.02,Temp=-55,harmonic=0) Y","PSR (IL=0.02,Temp=-180,harmonic=0) X","PSR (IL=0.02,Temp=-180,harmonic=0) Y"
1,-20.25515787537508,1,-32.83107766957679,1,-35.55596117220081,1,-40.72044327603092,1,-43.76091977160706,1,-49.80586448777306
1.258925411794167,-20.25515787531597,1.258925411794167,-32.83107766949792,1.258925411794167,-35.55596117212298,1.258925411794167,-40.7204432759407,1.258925411794167,-43.76091977149602,1.258925411794167,-49.80586448762145
1.584893192461114,-20.25515787522082,1.584893192461114,-32.83107766937724,1.584893192461114,-35.55596117200749,1.584893192461114,-40.72044327580581,1.584893192461114,-43.76091977132629,1.584893192461114,-49.80586448738559
1.99526231496888,-20.25515787505279,1.99526231496888,-32.83107766918825,1.99526231496888,-35.55596117182457,1.99526231496888,-40.7204432755904,1.99526231496888,-43.76091977105549,1.99526231496888,-49.80586448701293
2.511886431509581,-20.25515787479569,2.511886431509581,-32.83107766889107,2.511886431509581,-35.55596117153316,2.511886431509581,-40.7204432752479,2.511886431509581,-43.76091977063126,2.511886431509581,-49.80586448642177
3.16227766016838,-20.25515787438788,3.16227766016838,-32.83107766842263,3.16227766016838,-35.55596117105159,3.16227766016838,-40.72044327470337,3.16227766016838,-43.76091976995663,3.16227766016838,-49.80586448548885
3.981071705534974,-20.2551578737423,3.981071705534974,-32.83107766773207,3.981071705534974,-35.55596117030576,3.981071705534974,-40.7204432738385,3.981071705534974,-43.76091976888926,3.981071705534974,-49.80586448400569
5.011872336272725,-20.25515787271907,5.011872336272725,-32.83107766658403,5.011872336272725,-35.55596116912666,5.011872336272725,-40.72044327246572,5.011872336272725,-43.76091976719734,5.011872336272725,-49.80586448166675
6.309573444801935,-20.25515787109867,6.309573444801935,-32.83107766476569,6.309573444801935,-35.5559611673072,6.309573444801935,-40.72044327028749,6.309573444801935,-43.76091976451779,6.309573444801935,-49.80586447795105
7.943282347242818,-20.2551578685327,7.943282347242818,-32.83107766188001,7.943282347242818,-35.55596116438181,7.943282347242818,-40.72044326683309,7.943282347242818,-43.76091976027399,7.943282347242818,-49.8058644720648
