v /VOUT; pac dB20(V) (harmonic=0) X,v /VOUT; pac dB20(V) (harmonic=0) Y
1,-26.1485608722899
1.258925411794167,-26.14856087221835
1.584893192461114,-26.1485608721091
1.99526231496888,-26.14856087193692
2.511886431509581,-26.14856087166515
3.16227766016838,-26.14856087125219
3.981071705534974,-26.14856087058009
5.011872336272725,-26.14856086951291
6.309573444801935,-26.14856086782437
7.943282347242818,-26.14856086515047
10.00000000000001,-26.14856086091915
12.58925411794168,-26.14856085422494
15.84893192461115,-26.14856084365705
19.95262314968881,-26.14856082699772
25.11886431509582,-26.14856080082688
31.62277660168382,-26.14856075991958
39.81071705534977,-26.14856069648467
50.11872336272729,-26.14856059929507
63.0957344480194,-26.14856045315166
79.43282347242825,-26.14856023944325
100.0000000000001,-26.14855993931507
125.8925411794169,-26.14855954103344
158.4893192461116,-26.14855905025257
199.5262314968883,-26.14855849784379
251.1886431509584,-26.14855793584757
316.2277660168385,-26.14855741958469
398.107170553498,-26.14855698726671
501.1872336272732,-26.14855665117649
630.9573444801945,-26.14855640273009
794.3282347242831,-26.14855622180634
1000.000000000002,-26.1485560860641
1258.92541179417,-26.14855597371673
1584.893192461117,-26.14855586427706
1995.262314968884,-26.14855573552238
2511.886431509586,-26.14855556014012
3162.277660168386,-26.14855529909127
3981.071705534981,-26.14855489161376
5011.872336272734,-26.14855423738504
6309.573444801948,-26.14855316361421
7943.282347242834,-26.1485513592055
10000.00000000003,-26.14854823615273
12589.25411794171,-26.1485426238206
15848.93192461118,-26.14853207057185
19952.62314968885,-26.14851120925456
25118.86431509587,-26.14846787832692
31622.77660168388,-26.14837388284545
39810.71705534984,-26.14816313888982
50118.72336272738,-26.14768099098666
63095.73444801952,-26.14657107837441
79432.82347242841,-26.14403927021627
100000.0000000003,-26.13841747796386
125892.5411794172,-26.12653283391726
158489.3192461119,-26.10329435820833
199526.2314968887,-26.06264096469325
251188.6431509589,-25.99978396590951
316227.7660168391,-25.90688968732202
398107.1705534988,-25.7606060415889
501187.2336272742,-25.53849391855701
630957.3444801958,-25.20876611178422
794328.2347242847,-24.73480196999527
1000000.000000004,-24.07734796561869
1258925.411794172,-23.20892414447632
1584893.19246112,-22.12251246123514
1995262.314968888,-20.83289674263123
2511886.431509591,-19.3778131037175
3162277.660168393,-17.8065474312338
3981071.70553499,-16.17129593353065
5011872.336272745,-14.52359707932743
6309573.444801961,-12.91324442725319
7943282.347242852,-11.38840817322907
10000000.00000005,-9.994280419788927
12589254.11794173,-8.76696526708041
15848931.92461121,-7.722225589145017
19952623.14968889,-6.847507950957055
25118864.31509592,-6.099471548733496
31622776.60168395,-5.409843922759674
39810717.05534992,-4.693738822350971
50118723.36272748,-3.858134318991132
63095734.44801965,-2.814312247989563
79432823.47242856,-1.504927405684605
100000000.0000005,0.03161654474199112
125892541.1794174,1.535692167674018
158489319.2461122,2.472483708045361
199526231.4968891,2.492279711129252
251188643.1509594,1.924804821929768
316227766.0168397,1.281267581911963
398107170.5534995,0.803950361095282
500000000,0.5260592537518641
