IL,ITOT,VOUT,VDROP
5e-05,+3.086671E-04,1.98943046,1.9612941
0.0001,+3.580096E-04,1.98938787,1.94492159
0.0003,+5.554759E-04,1.98933196,1.87959779
0.0005,+7.528571E-04,1.98928265,1.81432122
0.001,+1.246897E-03,1.98923755,1.6509713
0.002,+2.235221E-03,1.98921584,1.32431907
0.003,+3.222592E-03,1.98919625,0.997889254
0.004,+4.210731E-03,1.98915028,0.671203233
0.005,+5.198469E-03,1.989165,0.344545775
0.006,+6.188481E-03,1.98919096,0.017338805
0.007,+7.173772E-03,1.9891731,-0.308441157
0.008,+8.161124E-03,1.98915231,-0.63491751
0.009,+9.148583E-03,1.98915518,-0.961408253
0.01,+1.013657E-02,1.98922214,-1.28803387
