IL,ITOT,VOUT,VDROP
0.0001,+3.639321E-03,1.40179064,-0.0105438505
0.0003,+3.800534E-03,1.40178341,-0.0105731254
0.0005,+3.992046E-03,1.40184956,-0.0105752048
0.001,+4.485959E-03,1.40166905,-0.0106029424
0.002,+5.479563E-03,1.40140663,-0.0106667213
0.003,+6.469183E-03,1.40146206,-0.0107328157
0.004,+7.456232E-03,1.40098623,-0.0107884273
0.005,+8.443298E-03,1.40080991,-0.0108406779
0.006,+9.432872E-03,1.40076766,-0.0109081707
0.007,+1.042249E-02,1.40062849,-0.0109775621
0.008,+1.049997E-02,1.39500947,-0.0110476068
0.009,+1.049996E-02,1.15619965,-0.0111108269
0.01,+1.049995E-02,0.942762884,-0.0111693517
