VIN,ITOT,VOUT,VDROP
1.8,+3.123771E-03,1.54637434,0.750615378
1.775,+3.109561E-03,1.54638928,0.750616633
1.75,+3.100400E-03,1.54641899,0.750609468
1.725,+3.094136E-03,1.54648367,0.750600863
1.7,+3.089990E-03,1.5464946,0.750597324
1.675,+3.087011E-03,1.54653854,0.75060005
1.65,+3.084440E-03,1.54653762,0.750586758
1.625,+3.082302E-03,1.54652202,0.750604226
1.6,+3.080018E-03,1.54644843,0.750590831
1.575,+3.076905E-03,1.54608988,0.750583876
1.55,+3.045863E-03,1.53825125,0.750586561
1.525,+2.950536E-03,1.5135289,0.750600263
1.5,+2.854630E-03,1.48862385,0.750574146
1.475,+2.758834E-03,1.46374551,0.750589152
1.45,+2.662950E-03,1.43884007,0.750570313
1.425,+2.567234E-03,1.41395067,0.750596182
1.4,+2.471311E-03,1.38903163,0.750551056
1.375,+2.375701E-03,1.36415103,0.750565939
1.35,+2.279711E-03,1.33923682,0.75056666
1.325,+2.184227E-03,1.31435447,0.750561058
1.3,+2.088379E-03,1.28944658,0.750548855
1.275,+1.992546E-03,1.26456827,0.75054398
1.25,+1.896712E-03,1.23966314,0.75057536
1.225,+1.801204E-03,1.21477859,0.750564443
1.2,+1.705611E-03,1.18992528,0.750574314
1.175,+1.609774E-03,1.16501471,0.75057823
1.15,+1.514106E-03,1.14013832,0.750538085
1.125,+1.418332E-03,1.11524072,0.750565391
1.1,+1.322752E-03,1.09038139,0.750532311
1.075,+1.227156E-03,1.06549018,0.750572647
1.05,+1.131592E-03,1.04063348,0.750593472
1.025,+1.035803E-03,1.01573385,0.750569992
1.0,+9.403006E-04,0.990885746,0.750554775
