IL,ITOT,VOUT,VDROP
0.0001,+3.155394E-03,1.41211428,0.664247884
0.0003,+3.342626E-03,1.41216861,0.611801567
0.0005,+3.539389E-03,1.41215227,0.559337588
0.001,+4.035520E-03,1.41205051,0.428224727
0.002,+5.032266E-03,1.41212354,0.165117671
0.003,+6.027659E-03,1.41205217,-0.0970413168
0.004,+7.017935E-03,1.41215326,-0.358527976
0.005,+8.011936E-03,1.41208439,-0.620590957
0.006,+9.005740E-03,1.41216201,-0.882729586
0.007,+1.000046E-02,1.41214534,-1.14490253
0.008,+1.049986E-02,1.41154689,-1.40706411
0.009,+1.049984E-02,1.158911,-1.66922622
0.01,+1.049983E-02,0.913351023,-1.93113887
