time,2*VREF
0,0.9
9.999999999999999e-12,0.9
1.185227003566126e-11,0.9
1.555681010698377e-11,0.9
1.845270633781913e-11,0.9
2.223439387830015e-11,0.9
2.885835495499147e-11,0.9
3.878242598169251e-11,0.9
4.816515816167735e-11,0.9
5.775022146467999e-11,0.9
6.78030747876959e-11,0.9
7.852056898621017e-11,0.9
9.058818784804446e-11,0.9
1.050159750686949e-10,0.9
1.237103648964677e-10,0.9
1.448084273860796e-10,0.9
1.622951084709548e-10,0.9
1.796129297418572e-10,0.9
1.982723994916285e-10,0.9
2.185989283524506e-10,0.9
2.43423335345216e-10,0.9
2.683177214466803e-10,0.9
2.914412519702618e-10,0.9
3.159409814800232e-10,0.9
3.451443931115122e-10,0.9
3.938481126827563e-10,0.9
4.420486266126684e-10,0.9
4.930083854609416e-10,0.9
5.541633053695359e-10,0.9
6.204539977890128e-10,0.9
6.919168188823188e-10,0.9
7.993705561566706e-10,0.9
9.419076102663329e-10,0.9
1.054654982299034e-09,0.9
1.16039000345165e-09,0.9
1.271955836284291e-09,0.9
1.40308845451543e-09,0.9
1.619205739042984e-09,0.9
1.838954015347657e-09,0.9
2.0611720552332e-09,0.9
2.278967356034976e-09,0.9
2.479013884474859e-09,0.9
2.665455534148105e-09,0.9
2.843794328786037e-09,0.9
3.019035755548109e-09,0.9
3.1967634593817e-09,0.9
3.384486566993814e-09,0.9
3.559322467474825e-09,0.9
3.720890102650527e-09,0.9
3.872534994785957e-09,0.9
4.022237390542134e-09,0.9
4.179031520756929e-09,0.9
4.349715091016839e-09,0.9
4.510432008623132e-09,0.9
4.663347784911012e-09,0.9
4.812044968484457e-09,0.9
4.958296563342874e-09,0.9
5.104525048807143e-09,0.9
5.252904893377744e-09,0.9
5.405933670275504e-09,0.9
5.567232281090139e-09,0.9
5.725030693994022e-09,0.9
5.871070582243895e-09,0.9
6.012764717323772e-09,0.9
6.155775902123703e-09,0.9
6.305275666462145e-09,0.9
6.468174149310494e-09,0.9
6.653868813565382e-09,0.9
6.885086721687686e-09,0.9
7.115589560755192e-09,0.9
7.331583885917561e-09,0.9
7.534891486629144e-09,0.9
7.724401021049441e-09,0.9
7.902394207202738e-09,0.9
8.072353325809026e-09,0.9
8.237629128549863e-09,0.9
8.401892607112228e-09,0.9
8.569445200519261e-09,0.9
8.746211240069141e-09,0.9
8.927027856303005e-09,0.9
9.097588855404204e-09,0.9
9.267429552478375e-09,0.9
9.444047351010032e-09,0.9
9.628412772847559e-09,0.9
9.827058326393414e-09,0.9
1.001e-08,0.9
1.002114996763423e-08,0.9
1.003301196550484e-08,0.9
1.004724692160723e-08,0.9
1.006451615554575e-08,0.9
1.007961545456726e-08,0.9
1.009420216433303e-08,0.9
1.011002720417732e-08,0.9
1.0128075590731e-08,0.9
1.015015517674193e-08,0.9
1.017941515180162e-08,0.9
1.022591872201654e-08,0.9
1.029586504360483e-08,0.9
1.03547305708503e-08,0.9
1.041755711568408e-08,0.9
1.048994371009597e-08,0.9
1.057608456731354e-08,0.9
1.068564784898477e-08,0.9
1.080720019264752e-08,0.9
1.093454129152591e-08,0.9
1.105092617308285e-08,0.9
1.116262922456547e-08,0.9
1.127850160629261e-08,0.9
1.140678522162942e-08,0.9
1.156025366275947e-08,0.9
1.173857084608629e-08,0.9
1.193364097438757e-08,0.9
1.214832237753125e-08,0.9
1.238116657384793e-08,0.9
1.260702496639844e-08,0.9
1.282140428573488e-08,0.9
1.30280462001444e-08,0.9
1.323031196699814e-08,0.9
1.343294141196881e-08,0.9
1.364146306471608e-08,0.9
1.386296964548062e-08,0.9
1.410659501708088e-08,0.9
1.434474877875916e-08,0.9
1.458725566474142e-08,0.9
1.484586326340258e-08,0.9
1.511498176358257e-08,0.9
1.540369421670169e-08,0.9
1.568120882978687e-08,0.9
1.595657434443948e-08,0.9
1.623830783698548e-08,0.9
1.653421848002876e-08,0.9
1.685793400609972e-08,0.9
1.722016553223063e-08,0.9
1.758876936771663e-08,0.9
1.79757454082334e-08,0.9
1.838449276080703e-08,0.9
1.878336107861472e-08,0.9
1.91698163857569e-08,0.9
1.956887576381664e-08,0.9
2.000694661712416e-08,0.9
2.049717625237665e-08,0.9
2.101187836594435e-08,0.9
2.156813244733351e-08,0.9
2.212223112777327e-08,0.9
2.267393096828856e-08,0.9
2.328217598385032e-08,0.9
2.399230945882377e-08,0.9
2.476300631126736e-08,0.9
2.558405321625785e-08,0.9
2.639076497156109e-08,0.9
2.733249662883178e-08,0.9
2.842380125472847e-08,0.9
2.968039705228481e-08,0.9
3.093518990059174e-08,0.9
3.256674274545134e-08,0.9
3.453425213138518e-08,0.9
3.662853737868897e-08,0.9
3.952357288145852e-08,0.9
4.317999946188812e-08,0.9
4.850771295533571e-08,0.9
5.713387352538147e-08,0.9
7.127052711890869e-08,0.9
8.261230803932949e-08,0.9
9.456390526734475e-08,0.9
1.092031487990927e-07,0.9
1.265945756764421e-07,0.9
1.479125258648651e-07,0.9
1.754919128943376e-07,0.9
2.130674356810463e-07,0.9
2.624602436125449e-07,0.9
3.316711518768002e-07,0.9
4.316711518768002e-07,0.9
5.316711518768002e-07,0.9
6.316711518768002e-07,0.9
7.316711518768002e-07,0.9
8.316711518768002e-07,0.9
9.316711518768002e-07,0.9
1.0316711518768e-06,0.9
1.1316711518768e-06,0.9
1.1858405759384e-06,0.9
1.24001e-06,0.9
1.240019765625e-06,0.9
1.240034963987823e-06,0.9
1.240054856131907e-06,0.9
1.240072929875852e-06,0.9
1.24008761395045e-06,0.9
1.24010256768737e-06,0.9
1.240118990059021e-06,0.9
1.240138407903491e-06,0.9
1.240163315491623e-06,0.9
1.240199189856098e-06,0.9
1.240262956938948e-06,0.9
1.24032051129759e-06,0.9
1.240378903494813e-06,0.9
1.240445759903745e-06,0.9
1.240524813216219e-06,0.9
1.240622398504855e-06,0.9
1.240740874711576e-06,0.9
1.240874108630633e-06,0.9
1.241016115806802e-06,0.9
1.241141068314935e-06,0.9
1.241262588379754e-06,0.9
1.241390701313299e-06,0.9
1.241535534450108e-06,0.9
1.241716562729745e-06,0.9
1.241928913443257e-06,0.9
1.242169933366854e-06,0.9
1.242416136783503e-06,0.9
1.242664734042485e-06,0.9
1.242914529303669e-06,0.9
1.243166277141864e-06,0.9
1.243425133372149e-06,0.9
1.24370026639582e-06,0.9
1.24400802811464e-06,0.9
1.244319746300079e-06,0.9
1.244646907596621e-06,0.9
1.245000967823989e-06,0.9
1.245378531237823e-06,0.9
1.245765026761469e-06,0.9
1.246154017460838e-06,0.9
1.246565893364051e-06,0.9
1.24702960284836e-06,0.9
1.247545365255194e-06,0.9
1.248081193476742e-06,0.9
1.248654254196804e-06,0.9
1.249145621357664e-06,0.9
1.249577077839248e-06,0.9
1.249793538919624e-06,0.9
1.25001e-06,0.9
1.250022622532717e-06,0.9
1.250035617623351e-06,0.9
1.250051304830016e-06,0.9
1.250070399975772e-06,0.9
1.250084858392395e-06,0.9
1.250099394092692e-06,0.9
1.250116064595314e-06,0.9
1.250138354398099e-06,0.9
1.250174251237001e-06,0.9
1.250202959589464e-06,0.9
1.250234108556086e-06,0.9
1.250281162720624e-06,0.9
1.250327072472237e-06,0.9
1.250369079279131e-06,0.9
1.250419280301249e-06,0.9
1.250501543587874e-06,0.9
1.250594992791642e-06,0.9
1.250688649275147e-06,0.9
1.250789945029106e-06,0.9
1.25090496910528e-06,0.9
1.251023523112354e-06,0.9
1.251144364044718e-06,0.9
1.251273719841562e-06,0.9
1.251423440271663e-06,0.9
1.251575668590937e-06,0.9
1.251742856696515e-06,0.9
1.251952506974057e-06,0.9
1.25219249525651e-06,0.9
1.252491131203813e-06,0.9
1.252916837686392e-06,0.9
1.253344532872677e-06,0.9
1.253758530831275e-06,0.9
1.254218073424537e-06,0.9
1.254746455564054e-06,0.9
1.255365294277525e-06,0.9
1.256086945526718e-06,0.9
1.256934079342534e-06,0.9
1.257855717689615e-06,0.9
1.258791152359923e-06,0.9
1.259785926785601e-06,0.9
1.26087609330321e-06,0.9
1.262106695838244e-06,0.9
1.263544523164142e-06,0.9
1.265285792003445e-06,0.9
1.267481130684594e-06,0.9
1.270399943830829e-06,0.9
1.274385019599088e-06,0.9
1.279967339047425e-06,0.9
1.288547125856562e-06,0.9
1.296475648878972e-06,0.9
1.304847760022368e-06,0.9
1.308828024846413e-06,0.9
1.316788554494504e-06,0.9
1.324814941507095e-06,0.9
1.333556622414807e-06,0.9
1.342258853370588e-06,0.9
1.346609968848479e-06,0.9
1.35531219980426e-06,0.9
1.363671644726014e-06,0.9
1.372784905323829e-06,0.9
1.381864762890359e-06,0.9
1.391592249273868e-06,0.9
1.396049714367444e-06,0.9
1.404964644554596e-06,0.9
1.407296416961255e-06,0.9
1.411959961774573e-06,0.9
1.417975974056295e-06,0.9
1.424424078737335e-06,0.9
1.429790887002568e-06,0.9
1.43404776015551e-06,0.9
1.438439943753133e-06,0.9
1.444714343926931e-06,0.9
1.450143749759433e-06,0.9
1.456000500619078e-06,0.9
1.462926052088195e-06,0.9
1.472329759992923e-06,0.9
1.487698770498995e-06,0.9
1.501885606453825e-06,0.9
1.517464578885647e-06,0.9
1.536681731276143e-06,0.9
1.560341230944711e-06,0.9
1.591908195884096e-06,0.9
1.630344584110257e-06,0.9
1.684171620234888e-06,0.9
1.766265094434551e-06,0.9
1.866265094434551e-06,0.9
1.966265094434551e-06,0.9
2.066265094434551e-06,0.9
2.166265094434551e-06,0.9
2.266265094434551e-06,0.9
2.366265094434551e-06,0.9
2.433137547217275e-06,0.9
2.50001e-06,0.9
2.5000490625e-06,0.9
2.500092383788275e-06,0.9
2.500115299831934e-06,0.9
2.500138764137017e-06,0.9
2.500164021691696e-06,0.9
2.50019930932017e-06,0.9
2.500227176903382e-06,0.9
2.500256716925083e-06,0.9
2.500304825218866e-06,0.9
2.500340802405347e-06,0.9
2.500373361941451e-06,0.9
2.500410247382735e-06,0.9
2.500461470890238e-06,0.9
2.500541988058712e-06,0.9
2.500622599885005e-06,0.9
2.500710254740684e-06,0.9
2.50080771287819e-06,0.9
2.500931159933266e-06,0.9
2.501064515231949e-06,0.9
2.501187643351818e-06,0.9
2.50131877857552e-06,0.9
2.501478168221901e-06,0.9
2.501738101636189e-06,0.9
2.502004088590623e-06,0.9
2.502241446015718e-06,0.9
2.502456709306984e-06,0.9
2.502650418963746e-06,0.9
2.502830864707853e-06,0.9
2.503006126960203e-06,0.9
2.503182961356513e-06,0.9
2.503369409397925e-06,0.9
2.503556969221061e-06,0.9
2.50372946854603e-06,0.9
2.50389257871794e-06,0.9
2.504051242782325e-06,0.9
2.504213435160116e-06,0.9
2.504382300141983e-06,0.9
2.504541109883631e-06,0.9
2.504692813996797e-06,0.9
2.50484073223551e-06,0.9
2.504986767026697e-06,0.9
2.505133231993437e-06,0.9
2.505282298489376e-06,0.9
2.505436610597364e-06,0.9
2.505600081571699e-06,0.9
2.505769935340379e-06,0.9
2.505935805411416e-06,0.9
2.506098517120336e-06,0.9
2.50626496232055e-06,0.9
2.506443246210204e-06,0.9
2.506644746176523e-06,0.9
2.50689066678366e-06,0.9
2.507121998043983e-06,0.9
2.507338417176189e-06,0.9
2.50754194432943e-06,0.9
2.507730949828333e-06,0.9
2.507908576501837e-06,0.9
2.508078280954749e-06,0.9
2.508243371169192e-06,0.9
2.508407548404168e-06,0.9
2.508575110505939e-06,0.9
2.508752014707514e-06,0.9
2.508932454822655e-06,0.9
2.509102823356735e-06,0.9
2.509272621912802e-06,0.9
2.509449372541873e-06,0.9
2.509649993502302e-06,0.9
2.509829996751151e-06,0.9
2.51001e-06,0.9
2.510021056771284e-06,0.9
2.510032657348627e-06,0.9
2.510046758402287e-06,0.9
2.510063857609346e-06,0.9
2.51007893481339e-06,0.9
2.510093477653536e-06,0.9
