IL,ITOT,VOUT,VDROP,VISET
0.0001,+3.782430E-04,1.39873831,1.35878718,1.3790114705882353
0.0003,+5.732902E-04,1.39860502,1.30643169,1.3261514705882351
0.0005,+7.714196E-04,1.39849121,1.25406255,1.2732914705882352
0.001,+1.267097E-03,1.39836736,1.12315801,1.1411414705882352
0.002,+2.259316E-03,1.39827529,0.861325215,0.8768414705882351
0.003,+3.251068E-03,1.39819903,0.599496553,0.6125414705882352
0.004,+4.242923E-03,1.39813221,0.337675646,0.34824147058823507
0.005,+5.237320E-03,1.39804612,0.0751910632,0.08394147058823509
0.006,+6.228252E-03,1.39809361,-0.18645747,-0.1803585294117649
0.007,+7.216865E-03,1.39799319,-0.447482024,-0.44465852941176487
0.008,+8.208676E-03,1.39799167,-0.709294564,-0.7089585294117651
0.009,+9.198976E-03,1.39791657,-0.970791057,-0.9732585294117646
0.01,+1.019036E-02,1.39786844,-1.23254236,-1.237558529411765
