time,2*VREF
0,0.1
9.999999999999999e-12,0.1
1.185132545452366e-11,0.1
1.555397636357099e-11,0.1
1.845032029160611e-11,0.1
2.223141299824176e-11,0.1
2.885321591842251e-11,0.1
3.866810700796188e-11,0.1
4.795533325235595e-11,0.1
5.745320980502651e-11,0.1
6.743262031304749e-11,0.1
7.812252912984294e-11,0.1
9.027781398730463e-11,0.1
1.04953741586275e-10,0.1
1.252425831625043e-10,0.1
1.443094341372326e-10,0.1
1.610382472511317e-10,0.1
1.781608885554275e-10,0.1
1.964400905691099e-10,0.1
2.17011669311029e-10,0.1
2.435542252098364e-10,0.1
2.66575257063967e-10,0.1
2.888994645439353e-10,0.1
3.135124788641576e-10,0.1
3.44895885130523e-10,0.1
4.011009236393127e-10,0.1
4.457008930829023e-10,0.1
5.018012080836179e-10,0.1
5.659397424970687e-10,0.1
6.276192029092525e-10,0.1
7.04450776660476e-10,0.1
8.436335815125371e-10,0.1
9.714224760479844e-10,0.1
1.086661568185549e-09,0.1
1.20916297240879e-09,0.1
1.353129737088814e-09,0.1
1.581623842493343e-09,0.1
1.84104726807198e-09,0.1
2.1304463155003e-09,0.1
2.431596801464782e-09,0.1
2.702993956251453e-09,0.1
2.957932745404152e-09,0.1
3.201476791750839e-09,0.1
3.444174553482655e-09,0.1
3.691409686518829e-09,0.1
3.947179237393177e-09,0.1
4.215918134083104e-09,0.1
4.493338740791748e-09,0.1
4.77275244886215e-09,0.1
5.055883758337834e-09,0.1
5.345043094775623e-09,0.1
5.643436913205958e-09,0.1
5.956262667610212e-09,0.1
6.293421289629885e-09,0.1
6.626679568464809e-09,0.1
6.931067983602275e-09,0.1
7.21463872370359e-09,0.1
7.483301427386033e-09,0.1
7.739497342578457e-09,0.1
7.985002726675886e-09,0.1
8.220689560758982e-09,0.1
8.446951282347175e-09,0.1
8.664343256470303e-09,0.1
8.873669210023094e-09,0.1
9.075993939958062e-09,0.1
9.272681625507142e-09,0.1
9.469148579071298e-09,0.1
9.668446548901604e-09,0.1
9.872612122158928e-09,0.1
1.001e-08,0.1
1.001929412486701e-08,0.1
1.002976254760861e-08,0.1
1.00420519065818e-08,0.1
1.005671275562929e-08,0.1
1.007144369113255e-08,0.1
1.008536172083256e-08,0.1
1.010020429384553e-08,0.1
1.011680298418464e-08,0.1
1.013630224590272e-08,0.1
1.01605630052687e-08,0.1
1.019344415761186e-08,0.1
