time,VOUT
0,0.5021138088139726
9.999999999999999e-12,0.5021138088121658
1.185173313334666e-11,0.501904728737842
1.555519940003999e-11,0.5017718490756058
1.845139090798044e-11,0.5016690438707375
2.223281337376981e-11,0.5015391834961868
2.885567249293104e-11,0.5013219365920332
3.8717729453679e-11,0.5010131718663622
4.804581880247933e-11,0.5007259911470485
5.75806880898246e-11,0.5004243500716163
6.759077637303343e-11,0.5000854441332497
7.82907941418751e-11,0.4996852454245716
9.040411328605327e-11,0.4991736124990243
1.049607068681807e-10,0.4984701295179224
1.244648905293612e-10,0.4973875831517317
1.442986147658446e-10,0.4961568834308906
1.613253573792771e-10,0.4950283656545031
1.785022906233872e-10,0.4938528316897373
1.969052076241164e-10,0.4925774680816233
2.173015504997598e-10,0.4911614389053235
2.428934335611524e-10,0.4893841528939391
2.666480451568934e-10,0.4877234904196863
2.892454789265608e-10,0.4861218712275153
3.136807524203617e-10,0.4843567743397129
3.437167603582421e-10,0.4821392880530093
4.037887762340029e-10,0.4776015551247245
4.502747218557569e-10,0.4740362053109864
5.051986277586435e-10,0.4697942837509157
5.674258632030159e-10,0.4649599434573368
6.307133760949813e-10,0.4600177932678249
7.063634266535406e-10,0.4540926926823057
8.394957032873884e-10,0.443673580574643
9.721659571280371e-10,0.4333344704547186
1.080436538218393e-09,0.4249416507375489
1.188581198003563e-09,0.4166058373907335
1.306476028688622e-09,0.4075796147828027
1.459193634972014e-09,0.3960044679819556
1.718554527230522e-09,0.376807484036177
1.936714546924696e-09,0.3613582752763048
2.154405655273597e-09,0.3469428964743599
2.370762265667674e-09,0.3340706217228913
2.57011381067597e-09,0.3239847965268362
2.756887646010747e-09,0.3165597006170796
2.936253453690564e-09,0.3117150596264502
3.113273509534342e-09,0.3095238800014044
3.293954003202141e-09,0.3102785489032092
3.486805820002037e-09,0.3146799061313041
3.659960531385956e-09,0.3218903194640368
3.822544602126289e-09,0.3314331537563107
3.975698622452089e-09,0.3427499726361571
4.128332162681781e-09,0.3560663049618523
4.289095412875485e-09,0.3719818279626712
4.459926752769077e-09,0.3905798451292524
4.620825445197688e-09,0.4092241758730583
4.774198053616279e-09,0.4275640338359855
4.923333085679438e-09,0.4454997330747779
5.070132348322275e-09,0.4628496052759398
5.217033263013449e-09,0.4795270042899244
5.366268401978734e-09,0.4954089127545258
