IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.884761E-04,0.700040209,0.667197659,0.6762907352941177
0.0003,+1.087813E-03,0.699941773,0.615294928,0.6234307352941176
0.0005,+1.284581E-03,0.700026261,0.56340783,0.5705707352941176
0.001,+1.776234E-03,0.700014882,0.433751559,0.43842073529411757
0.002,+2.759710E-03,0.699883601,0.173594941,0.17412073529411753
0.003,+3.740293E-03,0.69985455,-0.0857038353,-0.09017926470588244
0.004,+4.716159E-03,0.69986959,-0.344331618,-0.35447926470588254
0.005,+5.692738E-03,0.699446844,-0.603452176,-0.6187792647058825
0.006,+6.674277E-03,0.699880216,-0.862742912,-0.8830792647058825
0.007,+7.653618E-03,0.700021151,-1.12199328,-1.1473792647058825
0.008,+8.633961E-03,0.699974529,-1.3812676,-1.4116792647058827
0.009,+9.613990E-03,0.700055434,-1.64052177,-1.6759792647058827
0.01,+1.049993E-02,0.699644853,-1.89955376,-1.9402792647058826
